"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Mar 10 13:29:37 GMT 2022","Thu Mar 10 13:29:49 GMT 2022","12497","integration.tests.economy","test_economics","TestEconomics","","","test_cost_resize_account","Verify how much cost account resize"
"failed","Thu Mar 10 13:29:29 GMT 2022","Thu Mar 10 13:29:37 GMT 2022","8017","integration.tests.economy","test_economics","TestEconomics","","","test_contract_get_is_free","Verify that get contract calls is free"
"passed","Thu Mar 10 13:29:49 GMT 2022","Thu Mar 10 13:29:59 GMT 2022","9513","integration.tests.economy","test_economics","TestEconomics","","","test_cost_resize_account_less_neon","Verify how much cost account resize"
"passed","Thu Mar 10 13:31:13 GMT 2022","Thu Mar 10 13:31:21 GMT 2022","7820","integration.tests.economy","test_economics","TestEconomics","","","test_deploy_contract_more_1kb_less_neon",""
"failed","Thu Mar 10 13:31:39 GMT 2022","Thu Mar 10 13:31:49 GMT 2022","9999","integration.tests.economy","test_economics","TestEconomics","","","test_deploy_contract_to_exist_unpayed",""
"broken","Thu Mar 10 13:30:28 GMT 2022","Thu Mar 10 13:30:35 GMT 2022","6293","integration.tests.economy","test_economics","TestEconomics","","","test_contract_interact_more_500000_bpf_less_neon","Deploy a contract with more 500000 bpf"
"skipped","Thu Mar 10 13:30:23 GMT 2022","Thu Mar 10 13:30:28 GMT 2022","5004","integration.tests.economy","test_economics","TestEconomics","","","test_contract_interact_more_500000_bpf_less_gas","Deploy a contract with more 500000 bpf"
"failed","Thu Mar 10 13:28:33 GMT 2022","Thu Mar 10 13:28:41 GMT 2022","7996","integration.tests.economy","test_economics","TestEconomics","","","test_erc20_contract","Verify ERC20 token send"
"failed","Thu Mar 10 13:28:17 GMT 2022","Thu Mar 10 13:28:25 GMT 2022","8407","integration.tests.economy","test_economics","TestEconomics","","","test_send_neon_to_exist_account","Verify how many cost neon send to use who was already initialized"
"failed","Thu Mar 10 13:28:50 GMT 2022","Thu Mar 10 13:29:02 GMT 2022","12085","integration.tests.economy","test_economics","TestEconomics","","","test_deploy_small_contract_less_100tx","Verify we are bill minimum for 100 instruction"
"failed","Thu Mar 10 13:30:06 GMT 2022","Thu Mar 10 13:30:18 GMT 2022","11853","integration.tests.economy","test_economics","TestEconomics","","","test_contract_interact_more_500_steps","Deploy a contract with more 500 instructions"
"failed","Thu Mar 10 13:30:35 GMT 2022","Thu Mar 10 13:30:47 GMT 2022","12319","integration.tests.economy","test_economics","TestEconomics","","","test_tx_interact_more_1kb","Send to contract a big text (tx more than 1 kb)"
"skipped","Thu Mar 10 13:28:33 GMT 2022","Thu Mar 10 13:28:33 GMT 2022","0","integration.tests.economy","test_economics","TestEconomics","","","test_spl_transaction",""
"failed","Thu Mar 10 13:31:21 GMT 2022","Thu Mar 10 13:31:28 GMT 2022","7503","integration.tests.economy","test_economics","TestEconomics","","","test_deploy_contract_more_1kb_less_gas",""
"passed","Thu Mar 10 13:28:03 GMT 2022","Thu Mar 10 13:28:09 GMT 2022","6100","integration.tests.economy","test_economics","TestEconomics","","","test_account_creation","Verify account creation spend SOL"
