"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 21 16:22:03 GMT 2022","Mon Mar 21 16:22:30 GMT 2022","27396","integration.tests.economy","test_economics","TestEconomics","","","test_cost_resize_account","Verify how much cost account resize"
"passed","Mon Mar 21 16:25:18 GMT 2022","Mon Mar 21 16:25:36 GMT 2022","17895","integration.tests.economy","test_economics","TestEconomics","","","test_deploy_contract_more_1kb",""
"passed","Mon Mar 21 16:20:19 GMT 2022","Mon Mar 21 16:20:46 GMT 2022","27707","integration.tests.economy","test_economics","TestEconomics","","","test_deploy_small_contract_less_100tx","Verify we are bill minimum for 100 instruction"
"failed","Mon Mar 21 16:17:09 GMT 2022","Mon Mar 21 16:17:28 GMT 2022","18509","integration.tests.economy","test_economics","TestEconomics","","","test_send_when_not_enough_for_gas",""
"passed","Mon Mar 21 16:26:56 GMT 2022","Mon Mar 21 16:27:24 GMT 2022","28188","integration.tests.economy","test_economics","TestEconomics","","","test_interact_with_contract_from_non_payed_user",""
"broken","Mon Mar 21 16:19:06 GMT 2022","Mon Mar 21 16:19:15 GMT 2022","9378","integration.tests.economy","test_economics","TestEconomics","","","test_withdraw_neon_unexisting_ata",""
"skipped","Mon Mar 21 16:22:51 GMT 2022","Mon Mar 21 16:23:08 GMT 2022","17314","integration.tests.economy","test_economics","TestEconomics","","","test_failed_tx_when_less_gas","Don't get money from user if tx failed"
"failed","Mon Mar 21 16:25:36 GMT 2022","Mon Mar 21 16:25:55 GMT 2022","18660","integration.tests.economy","test_economics","TestEconomics","","","test_deploy_contract_more_1kb_less_neon",""
"skipped","Mon Mar 21 16:23:46 GMT 2022","Mon Mar 21 16:23:57 GMT 2022","10714","integration.tests.economy","test_economics","TestEconomics","","","test_contract_interact_more_500000_bpf_less_gas","Deploy a contract with more 500000 bpf"
"skipped","Mon Mar 21 16:23:35 GMT 2022","Mon Mar 21 16:23:46 GMT 2022","10980","integration.tests.economy","test_economics","TestEconomics","","","test_contract_interact_more_500000_bpf","Deploy a contract with more 500000 bpf"
"failed","Mon Mar 21 16:24:38 GMT 2022","Mon Mar 21 16:24:58 GMT 2022","20694","integration.tests.economy","test_economics","TestEconomics","","","test_tx_interact_more_1kb_less_neon","Send to contract a big text (tx more than 1 kb) when less neon"
