"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon May 16 14:08:11 GMT 2022","Mon May 16 14:08:11 GMT 2022","0","integration.tests.basic","test_transfers","TestTransfer","","","test_send_spl_wrapped_account_from_one_account_to_another[1]","Send spl wrapped account from one account to another
        Send zero: spl
        "
"passed","Mon May 16 14:06:18 GMT 2022","Mon May 16 14:06:18 GMT 2022","16","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[eth_getStorage]","Check that endpoint was not implemented"
"passed","Mon May 16 14:06:18 GMT 2022","Mon May 16 14:06:18 GMT 2022","15","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[eth_sendTransaction]","Check that endpoint was not implemented"
"passed","Mon May 16 14:07:44 GMT 2022","Mon May 16 14:07:46 GMT 2022","2183","integration.tests.basic","test_transfers","TestTransfer","","","test_send_neon_from_one_account_to_another[0]","Send neon from one account to another
        Send zero: Neon
        "
"broken","Mon May 16 14:09:42 GMT 2022","Mon May 16 14:09:42 GMT 2022","0","integration.tests.basic","test_transfers","TestTransfer","","","test_send_negative_sum_from_account_spl","Send negative sum from account: spl (with different precision)"
"passed","Mon May 16 14:05:45 GMT 2022","Mon May 16 14:05:46 GMT 2022","1382","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_logs_via_tags[latest-latest]","Verify implemented rpc calls work eth_getLogs"
"passed","Mon May 16 14:06:18 GMT 2022","Mon May 16 14:06:18 GMT 2022","16","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[shh_post]","Check that endpoint was not implemented"
"passed","Mon May 16 14:06:18 GMT 2022","Mon May 16 14:06:18 GMT 2022","16","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[eth_uninstallFilter]","Check that endpoint was not implemented"
"passed","Mon May 16 14:09:36 GMT 2022","Mon May 16 14:09:42 GMT 2022","5781","integration.tests.basic","test_transfers","TestTransfer","","","test_send_more_than_exist_on_account_erc20","Send more than exist on account: ERC20"
"passed","Mon May 16 14:06:18 GMT 2022","Mon May 16 14:06:18 GMT 2022","16","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[eth_accounts]","Check that endpoint was not implemented"
"passed","Mon May 16 14:06:17 GMT 2022","Mon May 16 14:06:17 GMT 2022","16","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_syncing[param-True]","Verify implemented rpc calls work eth_syncing"
"passed","Mon May 16 14:06:17 GMT 2022","Mon May 16 14:06:17 GMT 2022","15","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_web3_sha3[None-True]","Verify implemented rpc calls work web3_sha3"
"passed","Mon May 16 14:06:07 GMT 2022","Mon May 16 14:06:09 GMT 2022","2199","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_eth_get_transaction_by_hash","Verify implemented rpc calls work eth_getTransactionByHash"
"passed","Mon May 16 14:06:18 GMT 2022","Mon May 16 14:06:18 GMT 2022","15","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_hash_rate[None-False]","Verify implemented rpc calls work eth_hashrate"
"passed","Mon May 16 14:06:18 GMT 2022","Mon May 16 14:06:18 GMT 2022","19","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[shh_newIdentity]","Check that endpoint was not implemented"
