"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 10 12:43:43 GMT 2022","Thu Mar 10 12:43:44 GMT 2022","1512","integration.tests.basic","test_transfers","TestTransfer","","","test_zero_neon","Send zero: neon"
"passed","Thu Mar 10 12:43:34 GMT 2022","Thu Mar 10 12:43:36 GMT 2022","1334","integration.tests.basic","test_transfers","TestTransfer","","","test_send_neon_from_one_account_to_another[1.1]","Send neon from one account to another"
"passed","Thu Mar 10 12:43:16 GMT 2022","Thu Mar 10 12:43:18 GMT 2022","1361","integration.tests.basic","test_transactions","TestRpcCallsTransactions","","","test_rpc_call_eth_getTransactionByHash","Verify implemented rpc calls work eth_getTransactionByHash"
"passed","Thu Mar 10 12:42:35 GMT 2022","Thu Mar 10 12:42:35 GMT 2022","734","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_eth_getCode","Verify implemented rpc calls work eth_getCode"
"passed","Thu Mar 10 12:42:19 GMT 2022","Thu Mar 10 12:42:20 GMT 2022","95","integration.tests.basic","test_blocks","TestRpcCallsBlocks","","","test_rpc_call_eth_getBlockByNumber_via_tags[Tag.PENDING-False]","Verify implemented rpc calls work eth_getBlockByNumber"
"passed","Thu Mar 10 12:42:33 GMT 2022","Thu Mar 10 12:42:34 GMT 2022","706","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_eth_getLogs","Verify implemented rpc calls work eth_getLogs"
"skipped","Thu Mar 10 12:43:36 GMT 2022","Thu Mar 10 12:43:36 GMT 2022","0","integration.tests.basic","test_transfers","TestTransfer","","","test_send_spl_wrapped_account_from_one_account_to_another","Send spl wrapped account from one account to another"
"skipped","Thu Mar 10 12:43:46 GMT 2022","Thu Mar 10 12:43:46 GMT 2022","0","integration.tests.basic","test_transfers","TestTransfer","","","test_send_negative_sum_from_account_erc20","Send negative sum from account: ERC20"
"passed","Thu Mar 10 12:42:42 GMT 2022","Thu Mar 10 12:42:43 GMT 2022","715","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_check_tokens_in_wallet_neon","Check tokens in wallet: neon"
"skipped","Thu Mar 10 12:43:46 GMT 2022","Thu Mar 10 12:43:46 GMT 2022","0","integration.tests.basic","test_transfers","TestTransfer","","","test_send_negative_sum_from_account_spl","Send negative sum from account: spl (with different precision)"
"passed","Thu Mar 10 12:42:19 GMT 2022","Thu Mar 10 12:42:19 GMT 2022","95","integration.tests.basic","test_blocks","TestRpcCallsBlocks","","","test_rpc_call_eth_getBlockByNumber_via_tags[Tag.PENDING-True]","Verify implemented rpc calls work eth_getBlockByNumber"
"passed","Thu Mar 10 12:42:35 GMT 2022","Thu Mar 10 12:42:35 GMT 2022","95","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_web3_clientVersion","Verify implemented rpc calls work web3_clientVersion"
"passed","Thu Mar 10 12:43:41 GMT 2022","Thu Mar 10 12:43:41 GMT 2022","720","integration.tests.basic","test_transfers","TestTransfer","","","test_send_more_than_exist_on_account_neon[10.1]","Send more than exist on account: neon"
"passed","Thu Mar 10 12:42:33 GMT 2022","Thu Mar 10 12:42:33 GMT 2022","95","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_eth_gasPrice","Verify implemented rpc calls work eth_gasPrice"
"passed","Thu Mar 10 12:43:37 GMT 2022","Thu Mar 10 12:43:38 GMT 2022","713","integration.tests.basic","test_transfers","TestTransfer","","","test_send_more_than_exist_on_account_neon[10]","Send more than exist on account: neon"
"passed","Thu Mar 10 12:42:34 GMT 2022","Thu Mar 10 12:42:35 GMT 2022","705","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_eth_getBalance","Verify implemented rpc calls work eth_getBalance"
"passed","Thu Mar 10 12:42:42 GMT 2022","Thu Mar 10 12:42:42 GMT 2022","105","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_create_account_and_get_balance","Create account and get balance"
"passed","Thu Mar 10 12:43:39 GMT 2022","Thu Mar 10 12:43:39 GMT 2022","709","integration.tests.basic","test_transfers","TestTransfer","","","test_send_more_than_exist_on_account_neon[100]","Send more than exist on account: neon"
"passed","Thu Mar 10 12:43:47 GMT 2022","Thu Mar 10 12:43:47 GMT 2022","904","integration.tests.basic","test_transfers","TestTransfer","","","test_send_more_token_to_non_existing_address","Send token to a non-existing address"
"skipped","Thu Mar 10 12:42:43 GMT 2022","Thu Mar 10 12:42:43 GMT 2022","0","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_check_tokens_in_wallet_ERC20","Check tokens in wallet: ERC20"
"passed","Thu Mar 10 12:42:22 GMT 2022","Thu Mar 10 12:42:22 GMT 2022","97","integration.tests.basic","test_blocks","TestRpcCallsBlocks","","","test_rpc_call_eth_blockNumber","Verify implemented rpc calls work work eth_blockNumber"
"passed","Thu Mar 10 12:42:19 GMT 2022","Thu Mar 10 12:42:19 GMT 2022","96","integration.tests.basic","test_blocks","TestRpcCallsBlocks","","","test_rpc_call_eth_getBlockByNumber_via_tags[Tag.EARLIEST-False]","Verify implemented rpc calls work eth_getBlockByNumber"
"skipped","Thu Mar 10 12:42:43 GMT 2022","Thu Mar 10 12:42:43 GMT 2022","0","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_check_tokens_in_wallet_spl","Check tokens in wallet: spl"
"skipped","Thu Mar 10 12:43:41 GMT 2022","Thu Mar 10 12:43:41 GMT 2022","0","integration.tests.basic","test_transfers","TestTransfer","","","test_send_more_than_exist_on_account_erc20","Send more than exist on account: ERC20"
"passed","Thu Mar 10 12:43:29 GMT 2022","Thu Mar 10 12:43:30 GMT 2022","1561","integration.tests.basic","test_transfers","TestTransfer","","","test_send_neon_from_one_account_to_another[0.01]","Send neon from one account to another"
"passed","Thu Mar 10 12:42:35 GMT 2022","Thu Mar 10 12:42:35 GMT 2022","95","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_net_version","Verify implemented rpc calls work work net_version"
"passed","Thu Mar 10 12:43:19 GMT 2022","Thu Mar 10 12:43:20 GMT 2022","1324","integration.tests.basic","test_transactions","TestRpcCallsTransactions","","","test_rpc_call_eth_getTransactionReceipt","Verify implemented rpc calls work eth_getTransactionReceipt"
