"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 10 13:32:16 GMT 2022","Thu Mar 10 13:32:17 GMT 2022","848","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_eth_getBalance","Verify implemented rpc calls work eth_getBalance"
"passed","Thu Mar 10 13:31:58 GMT 2022","Thu Mar 10 13:31:58 GMT 2022","169","integration.tests.basic","test_blocks","TestRpcCallsBlocks","","","test_rpc_call_eth_blockNumber","Verify implemented rpc calls work work eth_blockNumber"
"passed","Thu Mar 10 13:32:15 GMT 2022","Thu Mar 10 13:32:15 GMT 2022","164","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_eth_gasPrice","Verify implemented rpc calls work eth_gasPrice"
"passed","Thu Mar 10 13:31:55 GMT 2022","Thu Mar 10 13:31:55 GMT 2022","164","integration.tests.basic","test_blocks","TestRpcCallsBlocks","","","test_rpc_call_eth_getBlockByNumber_via_tags[Tag.PENDING-True]","Verify implemented rpc calls work eth_getBlockByNumber"
"skipped","Thu Mar 10 13:33:53 GMT 2022","Thu Mar 10 13:33:53 GMT 2022","0","integration.tests.basic","test_transfers","TestTransfer","","","test_send_negative_sum_from_account_spl","Send negative sum from account: spl (with different precision)"
"passed","Thu Mar 10 13:31:55 GMT 2022","Thu Mar 10 13:31:55 GMT 2022","163","integration.tests.basic","test_blocks","TestRpcCallsBlocks","","","test_rpc_call_eth_getBlockByNumber_via_tags[Tag.PENDING-False]","Verify implemented rpc calls work eth_getBlockByNumber"
"passed","Thu Mar 10 13:33:49 GMT 2022","Thu Mar 10 13:33:51 GMT 2022","2044","integration.tests.basic","test_transfers","TestTransfer","","","test_zero_neon","Send zero: neon"
"skipped","Thu Mar 10 13:32:18 GMT 2022","Thu Mar 10 13:32:18 GMT 2022","0","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_eht_getStorageAt","Verify implemented rpc calls work eht_getStorageAt"
"failed","Thu Mar 10 13:32:10 GMT 2022","Thu Mar 10 13:32:13 GMT 2022","3279","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_eth_call","Verify implemented rpc calls work eth_call"
"passed","Thu Mar 10 13:32:30 GMT 2022","Thu Mar 10 13:32:30 GMT 2022","846","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_check_tokens_in_wallet_neon","Check tokens in wallet: neon"
"passed","Thu Mar 10 13:32:18 GMT 2022","Thu Mar 10 13:32:18 GMT 2022","164","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_net_version","Verify implemented rpc calls work work net_version"
"passed","Thu Mar 10 13:33:54 GMT 2022","Thu Mar 10 13:33:55 GMT 2022","1181","integration.tests.basic","test_transfers","TestTransfer","","","test_send_more_token_to_non_existing_address","Send token to a non-existing address"
"passed","Thu Mar 10 13:31:54 GMT 2022","Thu Mar 10 13:31:54 GMT 2022","164","integration.tests.basic","test_blocks","TestRpcCallsBlocks","","","test_rpc_call_eth_getBlockByNumber_via_tags[Tag.EARLIEST-True]","Verify implemented rpc calls work eth_getBlockByNumber"
"passed","Thu Mar 10 13:33:38 GMT 2022","Thu Mar 10 13:33:40 GMT 2022","2134","integration.tests.basic","test_transfers","TestTransfer","","","test_send_neon_from_one_account_to_another[1.1]","Send neon from one account to another"
"passed","Thu Mar 10 13:31:54 GMT 2022","Thu Mar 10 13:31:55 GMT 2022","164","integration.tests.basic","test_blocks","TestRpcCallsBlocks","","","test_rpc_call_eth_getBlockByNumber_via_tags[Tag.EARLIEST-False]","Verify implemented rpc calls work eth_getBlockByNumber"
"skipped","Thu Mar 10 13:33:51 GMT 2022","Thu Mar 10 13:33:51 GMT 2022","0","integration.tests.basic","test_transfers","TestTransfer","","","test_zero_spl","Send zero: spl (with different precision)"
"passed","Thu Mar 10 13:32:39 GMT 2022","Thu Mar 10 13:32:54 GMT 2022","15197","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_multiple_requests","Verify faucet work (request drop for several accounts): double request"
"skipped","Thu Mar 10 13:33:48 GMT 2022","Thu Mar 10 13:33:48 GMT 2022","0","integration.tests.basic","test_transfers","TestTransfer","","","test_send_more_than_exist_on_account_erc20","Send more than exist on account: ERC20"
