"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 18 05:49:37 GMT 2022","Fri Mar 18 05:49:45 GMT 2022","7881","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_single_request[10000]","Verify faucet work (request drop for several accounts): single request"
"passed","Fri Mar 18 05:51:53 GMT 2022","Fri Mar 18 05:51:54 GMT 2022","971","integration.tests.basic","test_transfers","TestTransfer","","","test_send_more_than_exist_on_account_neon[10]","Send more than exist on account: neon"
"passed","Fri Mar 18 05:49:14 GMT 2022","Fri Mar 18 05:49:21 GMT 2022","7879","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_single_request[1]","Verify faucet work (request drop for several accounts): single request"
"passed","Fri Mar 18 05:51:20 GMT 2022","Fri Mar 18 05:51:21 GMT 2022","1596","integration.tests.basic","test_transactions","TestRpcCallsTransactions","","","test_rpc_call_eth_getTransactionCount","Verify implemented rpc calls work eth_getTransactionCount"
"skipped","Fri Mar 18 05:49:14 GMT 2022","Fri Mar 18 05:49:14 GMT 2022","0","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_check_tokens_in_wallet_ERC20","Check tokens in wallet: ERC20"
"passed","Fri Mar 18 05:49:13 GMT 2022","Fri Mar 18 05:49:13 GMT 2022","143","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_create_account_and_get_balance","Create account and get balance"
"passed","Fri Mar 18 05:51:56 GMT 2022","Fri Mar 18 05:51:57 GMT 2022","969","integration.tests.basic","test_transfers","TestTransfer","","","test_send_more_than_exist_on_account_neon[100]","Send more than exist on account: neon"
"passed","Fri Mar 18 05:48:32 GMT 2022","Fri Mar 18 05:48:32 GMT 2022","138","integration.tests.basic","test_blocks","TestRpcCallsBlocks","","","test_rpc_call_eth_getBlockByNumber_via_tags[Tag.LATEST-False]","Verify implemented rpc calls work eth_getBlockByNumber"
"skipped","Fri Mar 18 05:49:14 GMT 2022","Fri Mar 18 05:49:14 GMT 2022","0","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_check_tokens_in_wallet_spl","Check tokens in wallet: spl"
"passed","Fri Mar 18 05:48:54 GMT 2022","Fri Mar 18 05:48:55 GMT 2022","796","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_eth_getLogs_via_tags[pending-latest]","Verify implemented rpc calls work eth_getLogs"
"passed","Fri Mar 18 05:51:58 GMT 2022","Fri Mar 18 05:51:59 GMT 2022","970","integration.tests.basic","test_transfers","TestTransfer","","","test_send_more_than_exist_on_account_neon[10.1]","Send more than exist on account: neon"
"passed","Fri Mar 18 05:48:51 GMT 2022","Fri Mar 18 05:48:52 GMT 2022","1462","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_eth_estimateGas","Verify implemented rpc calls work eth_estimateGas"
"skipped","Fri Mar 18 05:52:04 GMT 2022","Fri Mar 18 05:52:04 GMT 2022","0","integration.tests.basic","test_transfers","TestTransfer","","","test_send_negative_sum_from_account_erc20","Send negative sum from account: ERC20"
"passed","Fri Mar 18 05:52:04 GMT 2022","Fri Mar 18 05:52:05 GMT 2022","1052","integration.tests.basic","test_transfers","TestTransfer","","","test_send_token_to_an_invalid_address","Send token to an invalid address"
"passed","Fri Mar 18 05:48:59 GMT 2022","Fri Mar 18 05:48:59 GMT 2022","197","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_web3_clientVersion","Verify implemented rpc calls work web3_clientVersion"
"passed","Fri Mar 18 05:51:28 GMT 2022","Fri Mar 18 05:51:30 GMT 2022","1655","integration.tests.basic","test_transactions","TestRpcCallsTransactions","","","test_rpc_call_eth_getTransactionReceipt","Verify implemented rpc calls work eth_getTransactionReceipt"
"skipped","Fri Mar 18 05:51:59 GMT 2022","Fri Mar 18 05:51:59 GMT 2022","0","integration.tests.basic","test_transfers","TestTransfer","","","test_send_more_than_exist_on_account_spl[1.1]","Send more than exist on account: spl (with different precision)"
"passed","Fri Mar 18 05:50:22 GMT 2022","Fri Mar 18 05:50:37 GMT 2022","14314","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_multiple_requests[999]","Verify faucet work (request drop for several accounts): double request"
"skipped","Fri Mar 18 05:51:59 GMT 2022","Fri Mar 18 05:51:59 GMT 2022","0","integration.tests.basic","test_transfers","TestTransfer","","","test_send_more_than_exist_on_account_spl[0.01]","Send more than exist on account: spl (with different precision)"
"passed","Fri Mar 18 05:48:48 GMT 2022","Fri Mar 18 05:48:51 GMT 2022","2631","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_eth_call","Verify implemented rpc calls work eth_call"
"passed","Fri Mar 18 05:48:57 GMT 2022","Fri Mar 18 05:48:57 GMT 2022","787","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_eth_getLogs_via_numbers","Verify implemented rpc calls work eth_getLogs"
"skipped","Fri Mar 18 05:48:59 GMT 2022","Fri Mar 18 05:48:59 GMT 2022","0","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_eht_getStorageAt","Verify implemented rpc calls work eht_getStorageAt"
"passed","Fri Mar 18 05:48:32 GMT 2022","Fri Mar 18 05:48:32 GMT 2022","135","integration.tests.basic","test_blocks","TestRpcCallsBlocks","","","test_rpc_call_eth_getBlockByNumber_via_tags[Tag.PENDING-True]","Verify implemented rpc calls work eth_getBlockByNumber"
"passed","Fri Mar 18 05:48:33 GMT 2022","Fri Mar 18 05:48:35 GMT 2022","1641","integration.tests.basic","test_blocks","TestRpcCallsBlocks","","","test_rpc_call_eth_getBlockByNumber_via_numbers","Verify implemented rpc calls work eth_getBlockByNumber"
"passed","Fri Mar 18 05:48:31 GMT 2022","Fri Mar 18 05:48:31 GMT 2022","134","integration.tests.basic","test_blocks","TestRpcCallsBlocks","","","test_rpc_call_eth_getBlockByNumber_via_tags[Tag.EARLIEST-False]","Verify implemented rpc calls work eth_getBlockByNumber"
"passed","Fri Mar 18 05:51:44 GMT 2022","Fri Mar 18 05:51:46 GMT 2022","1756","integration.tests.basic","test_transfers","TestTransfer","","","test_send_neon_from_one_account_to_another[0.01]","Send neon from one account to another"
"passed","Fri Mar 18 05:49:29 GMT 2022","Fri Mar 18 05:49:37 GMT 2022","7880","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_single_request[999]","Verify faucet work (request drop for several accounts): single request"
"passed","Fri Mar 18 05:48:31 GMT 2022","Fri Mar 18 05:48:32 GMT 2022","156","integration.tests.basic","test_blocks","TestRpcCallsBlocks","","","test_rpc_call_eth_getBlockByNumber_via_tags[Tag.LATEST-True]","Verify implemented rpc calls work eth_getBlockByNumber"
"passed","Fri Mar 18 05:48:59 GMT 2022","Fri Mar 18 05:48:59 GMT 2022","209","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_net_version","Verify implemented rpc calls work work net_version"
"passed","Fri Mar 18 05:49:21 GMT 2022","Fri Mar 18 05:49:29 GMT 2022","7876","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_single_request[5]","Verify faucet work (request drop for several accounts): single request"
"passed","Fri Mar 18 05:52:05 GMT 2022","Fri Mar 18 05:52:06 GMT 2022","1057","integration.tests.basic","test_transfers","TestTransfer","","","test_send_more_token_to_non_existing_address","Send token to a non-existing address"
"passed","Fri Mar 18 05:48:55 GMT 2022","Fri Mar 18 05:48:56 GMT 2022","790","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_eth_getLogs_via_tags[latest-earliest]","Verify implemented rpc calls work eth_getLogs"
"skipped","Fri Mar 18 05:52:02 GMT 2022","Fri Mar 18 05:52:02 GMT 2022","0","integration.tests.basic","test_transfers","TestTransfer","","","test_zero_spl","Send zero: spl (with different precision)"
"passed","Fri Mar 18 05:51:47 GMT 2022","Fri Mar 18 05:51:49 GMT 2022","2023","integration.tests.basic","test_transfers","TestTransfer","","","test_send_neon_from_one_account_to_another[1]","Send neon from one account to another"
"passed","Fri Mar 18 05:51:50 GMT 2022","Fri Mar 18 05:51:52 GMT 2022","1589","integration.tests.basic","test_transfers","TestTransfer","","","test_send_neon_from_one_account_to_another[1.1]","Send neon from one account to another"
"passed","Fri Mar 18 05:49:53 GMT 2022","Fri Mar 18 05:50:08 GMT 2022","14827","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_multiple_requests[1]","Verify faucet work (request drop for several accounts): double request"
"passed","Fri Mar 18 05:52:03 GMT 2022","Fri Mar 18 05:52:04 GMT 2022","403","integration.tests.basic","test_transfers","TestTransfer","","","test_send_negative_sum_from_account_neon","Send negative sum from account: neon"
"passed","Fri Mar 18 05:48:52 GMT 2022","Fri Mar 18 05:48:53 GMT 2022","135","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_eth_gasPrice","Verify implemented rpc calls work eth_gasPrice"
"skipped","Fri Mar 18 05:51:59 GMT 2022","Fri Mar 18 05:51:59 GMT 2022","0","integration.tests.basic","test_transfers","TestTransfer","","","test_send_more_than_exist_on_account_spl[1]","Send more than exist on account: spl (with different precision)"
"passed","Fri Mar 18 05:52:00 GMT 2022","Fri Mar 18 05:52:02 GMT 2022","1737","integration.tests.basic","test_transfers","TestTransfer","","","test_zero_neon","Send zero: neon"
"passed","Fri Mar 18 05:50:51 GMT 2022","Fri Mar 18 05:51:05 GMT 2022","14447","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_multiple_requests[20000]","Verify faucet work (request drop for several accounts): double request"
