"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 22 07:22:38 GMT 2022","Tue Mar 22 07:22:38 GMT 2022","102","integration.tests.basic","test_blocks","TestRpcCallsBlocks","","","test_rpc_call_eth_getBlockByNumber_via_tags[Tag.EARLIEST-False]","Verify implemented rpc calls work eth_getBlockByNumber"
"passed","Tue Mar 22 07:25:44 GMT 2022","Tue Mar 22 07:25:45 GMT 2022","937","integration.tests.basic","test_transfers","TestTransfer","","","test_send_token_to_an_invalid_address","Send token to an invalid address"
"passed","Tue Mar 22 07:23:12 GMT 2022","Tue Mar 22 07:23:12 GMT 2022","115","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_create_account_and_get_balance","Create account and get balance"
"passed","Tue Mar 22 07:22:38 GMT 2022","Tue Mar 22 07:22:38 GMT 2022","103","integration.tests.basic","test_blocks","TestRpcCallsBlocks","","","test_rpc_call_eth_getBlockByNumber_via_tags[Tag.PENDING-False]","Verify implemented rpc calls work eth_getBlockByNumber"
"skipped","Tue Mar 22 07:25:35 GMT 2022","Tue Mar 22 07:25:35 GMT 2022","0","integration.tests.basic","test_transfers","TestTransfer","","","test_send_spl_wrapped_account_from_one_account_to_another","Send spl wrapped account from one account to another"
"skipped","Tue Mar 22 07:25:44 GMT 2022","Tue Mar 22 07:25:44 GMT 2022","0","integration.tests.basic","test_transfers","TestTransfer","","","test_send_negative_sum_from_account_erc20","Send negative sum from account: ERC20"
"skipped","Tue Mar 22 07:23:01 GMT 2022","Tue Mar 22 07:23:01 GMT 2022","0","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_eht_getStorageAt","Verify implemented rpc calls work eht_getStorageAt"
"passed","Tue Mar 22 07:25:12 GMT 2022","Tue Mar 22 07:25:14 GMT 2022","1544","integration.tests.basic","test_transactions","TestRpcCallsTransactions","","","test_rpc_call_eth_getTransactionByHash","Verify implemented rpc calls work eth_getTransactionByHash"
"passed","Tue Mar 22 07:23:00 GMT 2022","Tue Mar 22 07:23:00 GMT 2022","722","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_eth_getBalance","Verify implemented rpc calls work eth_getBalance"
"passed","Tue Mar 22 07:25:31 GMT 2022","Tue Mar 22 07:25:32 GMT 2022","1718","integration.tests.basic","test_transfers","TestTransfer","","","test_send_neon_from_one_account_to_another[1]","Send neon from one account to another"
"passed","Tue Mar 22 07:25:10 GMT 2022","Tue Mar 22 07:25:11 GMT 2022","1000","integration.tests.basic","test_transactions","TestRpcCallsTransactions","","","test_rpc_call_eth_sendRawTransaction","Verify implemented rpc calls work eth_sendRawTransaction"
"passed","Tue Mar 22 07:23:01 GMT 2022","Tue Mar 22 07:23:01 GMT 2022","106","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_net_version","Verify implemented rpc calls work work net_version"
"passed","Tue Mar 22 07:22:40 GMT 2022","Tue Mar 22 07:22:41 GMT 2022","1439","integration.tests.basic","test_blocks","TestRpcCallsBlocks","","","test_rpc_call_eth_getBlockByNumber_via_numbers","Verify implemented rpc calls work eth_getBlockByNumber"
"passed","Tue Mar 22 07:22:57 GMT 2022","Tue Mar 22 07:22:58 GMT 2022","726","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_eth_getLogs_via_tags[pending-latest]","Verify implemented rpc calls work eth_getLogs"
"passed","Tue Mar 22 07:23:01 GMT 2022","Tue Mar 22 07:23:01 GMT 2022","104","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_web3_clientVersion","Verify implemented rpc calls work web3_clientVersion"
"passed","Tue Mar 22 07:25:15 GMT 2022","Tue Mar 22 07:25:16 GMT 2022","1215","integration.tests.basic","test_transactions","TestRpcCallsTransactions","","","test_rpc_call_eth_getTransactionReceipt","Verify implemented rpc calls work eth_getTransactionReceipt"
"skipped","Tue Mar 22 07:25:39 GMT 2022","Tue Mar 22 07:25:39 GMT 2022","0","integration.tests.basic","test_transfers","TestTransfer","","","test_send_more_than_exist_on_account_spl[1]","Send more than exist on account: spl (with different precision)"
"passed","Tue Mar 22 07:24:16 GMT 2022","Tue Mar 22 07:24:29 GMT 2022","13354","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_multiple_requests[999]","Verify faucet work (request drop for several accounts): double request"
"passed","Tue Mar 22 07:25:42 GMT 2022","Tue Mar 22 07:25:42 GMT 2022","0","integration.tests.basic","test_transfers","TestTransfer","","","test_zero_erc20","Send zero: ERC20"
"passed","Tue Mar 22 07:22:59 GMT 2022","Tue Mar 22 07:23:00 GMT 2022","723","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_eth_getLogs_via_numbers","Verify implemented rpc calls work eth_getLogs"
"passed","Tue Mar 22 07:24:02 GMT 2022","Tue Mar 22 07:24:16 GMT 2022","13453","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_multiple_requests[5]","Verify faucet work (request drop for several accounts): double request"
"passed","Tue Mar 22 07:25:33 GMT 2022","Tue Mar 22 07:25:35 GMT 2022","1756","integration.tests.basic","test_transfers","TestTransfer","","","test_send_neon_from_one_account_to_another[1.1]","Send neon from one account to another"
"passed","Tue Mar 22 07:22:38 GMT 2022","Tue Mar 22 07:22:38 GMT 2022","107","integration.tests.basic","test_blocks","TestRpcCallsBlocks","","","test_rpc_call_eth_getBlockByNumber_via_tags[Tag.LATEST-True]","Verify implemented rpc calls work eth_getBlockByNumber"
"passed","Tue Mar 22 07:22:41 GMT 2022","Tue Mar 22 07:22:41 GMT 2022","106","integration.tests.basic","test_blocks","TestRpcCallsBlocks","","","test_rpc_call_eth_blockNumber","Verify implemented rpc calls work work eth_blockNumber"
"passed","Tue Mar 22 07:22:55 GMT 2022","Tue Mar 22 07:22:56 GMT 2022","725","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_eth_getLogs_via_tags[latest-latest]","Verify implemented rpc calls work eth_getLogs"
"passed","Tue Mar 22 07:25:43 GMT 2022","Tue Mar 22 07:25:44 GMT 2022","317","integration.tests.basic","test_transfers","TestTransfer","","","test_send_negative_sum_from_account_neon","Send negative sum from account: neon"
"passed","Tue Mar 22 07:24:42 GMT 2022","Tue Mar 22 07:24:56 GMT 2022","13468","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_multiple_requests[20000]","Verify faucet work (request drop for several accounts): double request"
"passed","Tue Mar 22 07:23:34 GMT 2022","Tue Mar 22 07:23:42 GMT 2022","7272","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_single_request[10000]","Verify faucet work (request drop for several accounts): single request"
"skipped","Tue Mar 22 07:25:39 GMT 2022","Tue Mar 22 07:25:39 GMT 2022","0","integration.tests.basic","test_transfers","TestTransfer","","","test_send_more_than_exist_on_account_spl[0.01]","Send more than exist on account: spl (with different precision)"
"passed","Tue Mar 22 07:22:55 GMT 2022","Tue Mar 22 07:22:55 GMT 2022","134","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_eth_estimateGas","Verify implemented rpc calls work eth_estimateGas"
"passed","Tue Mar 22 07:25:40 GMT 2022","Tue Mar 22 07:25:42 GMT 2022","1541","integration.tests.basic","test_transfers","TestTransfer","","","test_zero_neon","Send zero: neon"
"passed","Tue Mar 22 07:25:38 GMT 2022","Tue Mar 22 07:25:39 GMT 2022","761","integration.tests.basic","test_transfers","TestTransfer","","","test_send_more_than_exist_on_account_neon[10000.1]","Send more than exist on account: neon"
"passed","Tue Mar 22 07:23:42 GMT 2022","Tue Mar 22 07:23:49 GMT 2022","7255","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_single_request[20000]","Verify faucet work (request drop for several accounts): single request"
"passed","Tue Mar 22 07:23:49 GMT 2022","Tue Mar 22 07:24:02 GMT 2022","13403","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_multiple_requests[1]","Verify faucet work (request drop for several accounts): double request"
"passed","Tue Mar 22 07:23:13 GMT 2022","Tue Mar 22 07:23:20 GMT 2022","7250","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_single_request[1]","Verify faucet work (request drop for several accounts): single request"
"passed","Tue Mar 22 07:23:20 GMT 2022","Tue Mar 22 07:23:27 GMT 2022","7255","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_single_request[5]","Verify faucet work (request drop for several accounts): single request"
"passed","Tue Mar 22 07:22:38 GMT 2022","Tue Mar 22 07:22:38 GMT 2022","104","integration.tests.basic","test_blocks","TestRpcCallsBlocks","","","test_rpc_call_eth_getBlockByNumber_via_tags[Tag.PENDING-True]","Verify implemented rpc calls work eth_getBlockByNumber"
"passed","Tue Mar 22 07:23:00 GMT 2022","Tue Mar 22 07:23:01 GMT 2022","756","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_eth_getCode","Verify implemented rpc calls work eth_getCode"
"passed","Tue Mar 22 07:22:38 GMT 2022","Tue Mar 22 07:22:38 GMT 2022","122","integration.tests.basic","test_blocks","TestRpcCallsBlocks","","","test_rpc_call_eth_getBlockByNumber_via_tags[Tag.LATEST-False]","Verify implemented rpc calls work eth_getBlockByNumber"
"passed","Tue Mar 22 07:22:56 GMT 2022","Tue Mar 22 07:22:57 GMT 2022","724","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_eth_getLogs_via_tags[earliest-latest]","Verify implemented rpc calls work eth_getLogs"
"passed","Tue Mar 22 07:25:36 GMT 2022","Tue Mar 22 07:25:37 GMT 2022","768","integration.tests.basic","test_transfers","TestTransfer","","","test_send_more_than_exist_on_account_neon[1501]","Send more than exist on account: neon"
"passed","Tue Mar 22 07:25:07 GMT 2022","Tue Mar 22 07:25:09 GMT 2022","1502","integration.tests.basic","test_transactions","TestRpcCallsTransactions","","","test_rpc_call_eth_getTransactionCount","Verify implemented rpc calls work eth_getTransactionCount"
"passed","Tue Mar 22 07:23:12 GMT 2022","Tue Mar 22 07:23:13 GMT 2022","723","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_check_tokens_in_wallet_neon","Check tokens in wallet: neon"
"passed","Tue Mar 22 07:22:58 GMT 2022","Tue Mar 22 07:22:58 GMT 2022","722","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_eth_getLogs_via_tags[latest-earliest]","Verify implemented rpc calls work eth_getLogs"
"passed","Tue Mar 22 07:25:45 GMT 2022","Tue Mar 22 07:25:45 GMT 2022","931","integration.tests.basic","test_transfers","TestTransfer","","","test_send_more_token_to_non_existing_address","Send token to a non-existing address"
"passed","Tue Mar 22 07:24:29 GMT 2022","Tue Mar 22 07:24:42 GMT 2022","13354","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_multiple_requests[10000]","Verify faucet work (request drop for several accounts): double request"
"passed","Tue Mar 22 07:25:28 GMT 2022","Tue Mar 22 07:25:29 GMT 2022","1663","integration.tests.basic","test_transfers","TestTransfer","","","test_send_neon_from_one_account_to_another[0.01]","Send neon from one account to another"
"skipped","Tue Mar 22 07:25:39 GMT 2022","Tue Mar 22 07:25:39 GMT 2022","0","integration.tests.basic","test_transfers","TestTransfer","","","test_send_more_than_exist_on_account_spl[1.1]","Send more than exist on account: spl (with different precision)"
"skipped","Tue Mar 22 07:25:44 GMT 2022","Tue Mar 22 07:25:44 GMT 2022","0","integration.tests.basic","test_transfers","TestTransfer","","","test_send_negative_sum_from_account_spl","Send negative sum from account: spl (with different precision)"
