"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Apr 08 11:42:27 GMT 2022","Fri Apr 08 11:42:27 GMT 2022","0","integration.tests.basic","test_transfers","TestTransfer","","","test_send_spl_wrapped_account_from_one_account_to_another","Send spl wrapped account from one account to another"
"passed","Fri Apr 08 11:39:32 GMT 2022","Fri Apr 08 11:39:32 GMT 2022","778","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_eth_getLogs_via_tags[latest-earliest]","Verify implemented rpc calls work eth_getLogs"
"passed","Fri Apr 08 11:39:29 GMT 2022","Fri Apr 08 11:39:30 GMT 2022","781","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_eth_getLogs_via_tags[latest-latest]","Verify implemented rpc calls work eth_getLogs"
"passed","Fri Apr 08 11:40:13 GMT 2022","Fri Apr 08 11:40:21 GMT 2022","7845","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_single_request[10000]","Verify faucet work (request drop for several accounts): single request"
"passed","Fri Apr 08 11:42:35 GMT 2022","Fri Apr 08 11:42:36 GMT 2022","385","integration.tests.basic","test_transfers","TestTransfer","","","test_send_negative_sum_from_account_neon","Send negative sum from account: neon"
"passed","Fri Apr 08 11:42:34 GMT 2022","Fri Apr 08 11:42:34 GMT 2022","0","integration.tests.basic","test_transfers","TestTransfer","","","test_zero_erc20","Send zero: ERC20"
"passed","Fri Apr 08 11:41:12 GMT 2022","Fri Apr 08 11:41:26 GMT 2022","14316","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_multiple_requests[10000]","Verify faucet work (request drop for several accounts): double request"
"passed","Fri Apr 08 11:40:21 GMT 2022","Fri Apr 08 11:40:28 GMT 2022","7839","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_single_request[20000]","Verify faucet work (request drop for several accounts): single request"
"skipped","Fri Apr 08 11:39:49 GMT 2022","Fri Apr 08 11:39:49 GMT 2022","0","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_check_tokens_in_wallet_ERC20","Check tokens in wallet: ERC20"
"skipped","Fri Apr 08 11:42:34 GMT 2022","Fri Apr 08 11:42:34 GMT 2022","0","integration.tests.basic","test_transfers","TestTransfer","","","test_zero_spl","Send zero: spl (with different precision)"
"skipped","Fri Apr 08 11:42:31 GMT 2022","Fri Apr 08 11:42:31 GMT 2022","0","integration.tests.basic","test_transfers","TestTransfer","","","test_send_more_than_exist_on_account_spl[1]","Send more than exist on account: spl (with different precision)"
"passed","Fri Apr 08 11:41:54 GMT 2022","Fri Apr 08 11:41:57 GMT 2022","2206","integration.tests.basic","test_transactions","TestRpcCallsTransactions","","","test_rpc_call_eth_getTransactionCount","Verify implemented rpc calls work eth_getTransactionCount"
"passed","Fri Apr 08 11:39:09 GMT 2022","Fri Apr 08 11:39:09 GMT 2022","155","integration.tests.basic","test_blocks","TestRpcCallsBlocks","","","test_rpc_call_eth_getBlockByNumber_via_tags[Tag.LATEST-True]","Verify implemented rpc calls work eth_getBlockByNumber"
"passed","Fri Apr 08 11:39:33 GMT 2022","Fri Apr 08 11:39:34 GMT 2022","780","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_eth_getLogs_via_numbers","Verify implemented rpc calls work eth_getLogs"
"passed","Fri Apr 08 11:39:57 GMT 2022","Fri Apr 08 11:40:05 GMT 2022","7804","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_single_request[5]","Verify faucet work (request drop for several accounts): single request"
"passed","Fri Apr 08 11:39:35 GMT 2022","Fri Apr 08 11:39:36 GMT 2022","793","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_eth_getCode","Verify implemented rpc calls work eth_getCode"
"passed","Fri Apr 08 11:42:43 GMT 2022","Fri Apr 08 11:42:44 GMT 2022","1016","integration.tests.basic","test_transfers","TestTransfer","","","test_too_high_gas_price_greater_than_u64_max","Too high gas_price > u64::max"
"passed","Fri Apr 08 11:42:41 GMT 2022","Fri Apr 08 11:42:42 GMT 2022","717","integration.tests.basic","test_transfers","TestTransfer","","","test_too_high_gas_limit_greater_than_u64_max","Too high gas_limit > u64::max"
