"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 26 17:54:06 GMT 2022","Tue Apr 26 17:54:06 GMT 2022","165","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[eth_signTransaction]","Check that endpoint was not implemented"
"passed","Tue Apr 26 17:53:38 GMT 2022","Tue Apr 26 17:53:39 GMT 2022","853","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_logs_via_tags[earliest-latest]","Verify implemented rpc calls work eth_getLogs"
"passed","Tue Apr 26 17:54:02 GMT 2022","Tue Apr 26 17:54:02 GMT 2022","164","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_work[param-True]","Verify implemented rpc calls work eth_getWork"
"passed","Tue Apr 26 17:54:04 GMT 2022","Tue Apr 26 17:54:04 GMT 2022","164","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[eth_getUncleCountByBlockHash]","Check that endpoint was not implemented"
"passed","Tue Apr 26 17:56:15 GMT 2022","Tue Apr 26 17:56:24 GMT 2022","8560","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_single_request[10000]","Verify faucet work (request drop for several accounts): single request"
"passed","Tue Apr 26 17:53:44 GMT 2022","Tue Apr 26 17:53:44 GMT 2022","163","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_net_version","Verify implemented rpc calls work work net_version"
"passed","Tue Apr 26 17:53:52 GMT 2022","Tue Apr 26 17:53:54 GMT 2022","1940","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_block_by_hash","Verify implemented rpc calls work eth_getBlockByHash"
"passed","Tue Apr 26 17:54:05 GMT 2022","Tue Apr 26 17:54:06 GMT 2022","165","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[eth_sign]","Check that endpoint was not implemented"
"passed","Tue Apr 26 17:54:01 GMT 2022","Tue Apr 26 17:54:01 GMT 2022","164","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_transaction_by_block_hash_and_index[params3-True]","Verify implemented rpc calls work eth_getTransactionByBlockHashAndIndex"
"passed","Tue Apr 26 17:54:07 GMT 2022","Tue Apr 26 17:54:07 GMT 2022","164","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[shh_newGroup]","Check that endpoint was not implemented"
"passed","Tue Apr 26 17:56:48 GMT 2022","Tue Apr 26 17:57:03 GMT 2022","15528","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_multiple_requests[5]","Verify faucet work (request drop for several accounts): double request"
"passed","Tue Apr 26 17:54:24 GMT 2022","Tue Apr 26 17:54:25 GMT 2022","856","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_check_tokens_in_wallet_neon","Check tokens in wallet: neon"
"passed","Tue Apr 26 17:53:55 GMT 2022","Tue Apr 26 17:53:55 GMT 2022","192","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_block_by_umber_via_tags[Tag.LATEST-False]","Verify implemented rpc calls work eth_getBlockByNumber"
"failed","Tue Apr 26 17:58:19 GMT 2022","Tue Apr 26 17:58:19 GMT 2022","1","integration.tests.basic","test_transfers","TestTransfer","","","test_send_more_than_exist_on_account_spl[1.1]","Send more than exist on account: spl (with different precision)"
"passed","Tue Apr 26 17:58:58 GMT 2022","Tue Apr 26 17:58:59 GMT 2022","867","integration.tests.basic","test_transfers","TestTransactionsValidation","","","test_send_with_big_nonce","Nonce is too high"
