"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 28 16:07:18 GMT 2022","Thu Apr 28 16:07:19 GMT 2022","671","integration.tests.basic","test_transfers","TestTransactionsValidation","","","test_send_with_big_nonce","Nonce is too high"
"passed","Thu Apr 28 16:02:26 GMT 2022","Thu Apr 28 16:02:26 GMT 2022","129","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[eth_getCompilers]","Check that endpoint was not implemented"
"passed","Thu Apr 28 16:02:21 GMT 2022","Thu Apr 28 16:02:21 GMT 2022","152","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_block_number","Verify implemented rpc calls work work eth_blockNumber"
"passed","Thu Apr 28 16:02:19 GMT 2022","Thu Apr 28 16:02:19 GMT 2022","132","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_block_by_number_via_tags[Tag.LATEST-True]","Verify implemented rpc calls work eth_getBlockByNumber"
"passed","Thu Apr 28 16:05:27 GMT 2022","Thu Apr 28 16:05:42 GMT 2022","14775","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_multiple_requests[10000]","Verify faucet work (request drop for several accounts): double request"
"passed","Thu Apr 28 16:02:25 GMT 2022","Thu Apr 28 16:02:25 GMT 2022","126","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[eth_accounts]","Check that endpoint was not implemented"
"passed","Thu Apr 28 16:02:27 GMT 2022","Thu Apr 28 16:02:27 GMT 2022","126","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[eth_protocolVersion]","Check that endpoint was not implemented"
"passed","Thu Apr 28 16:04:59 GMT 2022","Thu Apr 28 16:05:13 GMT 2022","14402","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_multiple_requests[5]","Verify faucet work (request drop for several accounts): double request"
"passed","Thu Apr 28 16:02:27 GMT 2022","Thu Apr 28 16:02:27 GMT 2022","127","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[eth_getUncleCountByBlockNumber]","Check that endpoint was not implemented"
"passed","Thu Apr 28 16:02:23 GMT 2022","Thu Apr 28 16:02:23 GMT 2022","128","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_block_transaction_count_by_hash[16-True]","Verify implemented rpc calls work eth_getBlockTransactionCountByHash"
"passed","Thu Apr 28 16:02:24 GMT 2022","Thu Apr 28 16:02:24 GMT 2022","128","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_transaction_by_block_number_and_index[params2-True]","Verify implemented rpc calls work eth_getTransactionByBlockNumberAndIndex"
"passed","Thu Apr 28 16:06:31 GMT 2022","Thu Apr 28 16:06:32 GMT 2022","992","integration.tests.basic","test_transfers","TestTransfer","","","test_send_more_than_exist_on_account_spl","Send more than exist on account: spl (with different precision)"
"passed","Thu Apr 28 16:06:38 GMT 2022","Thu Apr 28 16:06:39 GMT 2022","1854","integration.tests.basic","test_transfers","TestTransfer","","","test_zero_spl","Send zero: spl (with different precision)"
"passed","Thu Apr 28 16:02:24 GMT 2022","Thu Apr 28 16:02:25 GMT 2022","128","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_transaction_by_block_number_and_index[params3-True]","Verify implemented rpc calls work eth_getTransactionByBlockNumberAndIndex"
"passed","Thu Apr 28 16:02:27 GMT 2022","Thu Apr 28 16:02:27 GMT 2022","126","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[eth_newBlockFilter]","Check that endpoint was not implemented"
"passed","Thu Apr 28 16:06:35 GMT 2022","Thu Apr 28 16:06:38 GMT 2022","2139","integration.tests.basic","test_transfers","TestTransfer","","","test_zero_neon","Send zero: neon"
"passed","Thu Apr 28 16:02:25 GMT 2022","Thu Apr 28 16:02:25 GMT 2022","127","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_work[None-False]","Verify implemented rpc calls work eth_getWork"
"passed","Thu Apr 28 16:02:24 GMT 2022","Thu Apr 28 16:02:24 GMT 2022","127","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_transaction_by_block_hash_and_index[params2-True]","Verify implemented rpc calls work eth_getTransactionByBlockHashAndIndex"
"passed","Thu Apr 28 16:02:24 GMT 2022","Thu Apr 28 16:02:24 GMT 2022","153","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_transaction_by_block_hash_and_index[params0-False]","Verify implemented rpc calls work eth_getTransactionByBlockHashAndIndex"
"passed","Thu Apr 28 16:04:05 GMT 2022","Thu Apr 28 16:04:13 GMT 2022","7819","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_single_request[1]","Verify faucet work (request drop for several accounts): single request"
"passed","Thu Apr 28 16:02:25 GMT 2022","Thu Apr 28 16:02:26 GMT 2022","127","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[eth_compileLLL]","Check that endpoint was not implemented"
"passed","Thu Apr 28 16:06:19 GMT 2022","Thu Apr 28 16:06:23 GMT 2022","4210","integration.tests.basic","test_transfers","TestTransfer","","","test_send_erc20_token_from_one_account_to_another[10]","Send erc20 token from one account to another"
"passed","Thu Apr 28 16:02:25 GMT 2022","Thu Apr 28 16:02:25 GMT 2022","127","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[eth_coinbase]","Check that endpoint was not implemented"
"passed","Thu Apr 28 16:06:51 GMT 2022","Thu Apr 28 16:06:52 GMT 2022","1041","integration.tests.basic","test_transfers","TestTransfer","","","test_send_more_token_to_non_existing_address","Send token to a non-existing address"
"passed","Thu Apr 28 16:02:10 GMT 2022","Thu Apr 28 16:02:10 GMT 2022","127","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_net_version","Verify implemented rpc calls work work net_version"
"passed","Thu Apr 28 16:02:05 GMT 2022","Thu Apr 28 16:02:05 GMT 2022","774","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_logs_via_tags[earliest-latest]","Verify implemented rpc calls work eth_getLogs"
"passed","Thu Apr 28 16:02:26 GMT 2022","Thu Apr 28 16:02:26 GMT 2022","126","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[eth_getUncleByBlockHashAndIndex]","Check that endpoint was not implemented"
"passed","Thu Apr 28 16:07:14 GMT 2022","Thu Apr 28 16:07:16 GMT 2022","1865","integration.tests.basic","test_transfers","TestTransactionsValidation","","","test_generate_bad_sign[1-18446744073709551616-gas limit reached]","Generate bad sign (when v, r, s over allowed size)
        Too low gas_limit
        Too high gas_limit > u64::max
        Too high gas_limit > u64::max
        Too high gas_price > u64::max
        Too high gas_limit * gas_price > u64::max
        "
"passed","Thu Apr 28 16:06:45 GMT 2022","Thu Apr 28 16:06:48 GMT 2022","2983","integration.tests.basic","test_transfers","TestTransfer","","","test_send_negative_sum_from_account_erc20","Send negative sum from account: ERC20"
"passed","Thu Apr 28 16:02:28 GMT 2022","Thu Apr 28 16:02:28 GMT 2022","128","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[eth_submitWork]","Check that endpoint was not implemented"
"passed","Thu Apr 28 16:02:22 GMT 2022","Thu Apr 28 16:02:22 GMT 2022","129","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_syncing[param-True]","Verify implemented rpc calls work eth_syncing"
"passed","Thu Apr 28 16:04:36 GMT 2022","Thu Apr 28 16:04:44 GMT 2022","7802","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_single_request[20000]","Verify faucet work (request drop for several accounts): single request"
"passed","Thu Apr 28 16:02:28 GMT 2022","Thu Apr 28 16:02:28 GMT 2022","127","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[shh_getFilterChanges]","Check that endpoint was not implemented"
"passed","Thu Apr 28 16:02:29 GMT 2022","Thu Apr 28 16:02:29 GMT 2022","127","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[shh_version]","Check that endpoint was not implemented"
"passed","Thu Apr 28 16:02:08 GMT 2022","Thu Apr 28 16:02:08 GMT 2022","779","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_logs_via_numbers","Verify implemented rpc calls work eth_getLogs"
"passed","Thu Apr 28 16:02:18 GMT 2022","Thu Apr 28 16:02:19 GMT 2022","140","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_block_by_number_via_tags[Tag.EARLIEST-False]","Verify implemented rpc calls work eth_getBlockByNumber"
"passed","Thu Apr 28 16:02:29 GMT 2022","Thu Apr 28 16:02:29 GMT 2022","127","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[shh_uninstallFilter]","Check that endpoint was not implemented"
"passed","Thu Apr 28 16:02:26 GMT 2022","Thu Apr 28 16:02:26 GMT 2022","128","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[eth_compileSolidity]","Check that endpoint was not implemented"
"passed","Thu Apr 28 16:06:11 GMT 2022","Thu Apr 28 16:06:13 GMT 2022","2059","integration.tests.basic","test_transfers","TestTransfer","","","test_send_neon_from_one_account_to_another[1]","Send neon from one account to another"
"passed","Thu Apr 28 16:02:21 GMT 2022","Thu Apr 28 16:02:21 GMT 2022","127","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_storage_at[params1-True]","Verify implemented rpc calls work eht_getStorageAt"
"passed","Thu Apr 28 16:02:22 GMT 2022","Thu Apr 28 16:02:22 GMT 2022","154","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_syncing[None-False]","Verify implemented rpc calls work eth_syncing"
"passed","Thu Apr 28 16:02:22 GMT 2022","Thu Apr 28 16:02:22 GMT 2022","128","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_web3_sha3[0x6865-False]","Verify implemented rpc calls work web3_sha3"
"passed","Thu Apr 28 16:02:03 GMT 2022","Thu Apr 28 16:02:04 GMT 2022","435","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_gas_price","Verify implemented rpc calls work eth_gasPrice"
"passed","Thu Apr 28 16:02:28 GMT 2022","Thu Apr 28 16:02:28 GMT 2022","128","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[eth_uninstallFilter]","Check that endpoint was not implemented"
"passed","Thu Apr 28 16:02:22 GMT 2022","Thu Apr 28 16:02:22 GMT 2022","127","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_web3_sha3[param-True]","Verify implemented rpc calls work web3_sha3"
"passed","Thu Apr 28 16:02:29 GMT 2022","Thu Apr 28 16:02:29 GMT 2022","131","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[shh_newIdentity]","Check that endpoint was not implemented"
"passed","Thu Apr 28 16:02:26 GMT 2022","Thu Apr 28 16:02:27 GMT 2022","126","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[eth_getUncleCountByBlockHash]","Check that endpoint was not implemented"
"passed","Thu Apr 28 16:02:06 GMT 2022","Thu Apr 28 16:02:07 GMT 2022","775","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_logs_via_tags[latest-earliest]","Verify implemented rpc calls work eth_getLogs"
"passed","Thu Apr 28 16:02:21 GMT 2022","Thu Apr 28 16:02:21 GMT 2022","153","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_storage_at[params0-False]","Verify implemented rpc calls work eht_getStorageAt"
"passed","Thu Apr 28 16:02:23 GMT 2022","Thu Apr 28 16:02:23 GMT 2022","128","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_block_transaction_count_by_number[param-True]","Verify implemented rpc calls work eth_getBlockTransactionCountByNumber"
"passed","Thu Apr 28 16:02:19 GMT 2022","Thu Apr 28 16:02:19 GMT 2022","133","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_block_by_number_via_tags[Tag.PENDING-True]","Verify implemented rpc calls work eth_getBlockByNumber"
"passed","Thu Apr 28 16:02:24 GMT 2022","Thu Apr 28 16:02:24 GMT 2022","128","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_transaction_by_block_number_and_index[params0-False]","Verify implemented rpc calls work eth_getTransactionByBlockNumberAndIndex"
"passed","Thu Apr 28 16:02:27 GMT 2022","Thu Apr 28 16:02:27 GMT 2022","127","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[eth_newPendingTransactionFilter]","Check that endpoint was not implemented"
"passed","Thu Apr 28 16:02:17 GMT 2022","Thu Apr 28 16:02:18 GMT 2022","1638","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_block_by_hash","Verify implemented rpc calls work eth_getBlockByHash"
"passed","Thu Apr 28 16:06:13 GMT 2022","Thu Apr 28 16:06:15 GMT 2022","2133","integration.tests.basic","test_transfers","TestTransfer","","","test_send_neon_from_one_account_to_another[1.1]","Send neon from one account to another"
"passed","Thu Apr 28 16:02:26 GMT 2022","Thu Apr 28 16:02:26 GMT 2022","126","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[eth_getFilterChanges]","Check that endpoint was not implemented"
"passed","Thu Apr 28 16:02:27 GMT 2022","Thu Apr 28 16:02:28 GMT 2022","128","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[eth_signTransaction]","Check that endpoint was not implemented"
"passed","Thu Apr 28 16:02:24 GMT 2022","Thu Apr 28 16:02:24 GMT 2022","131","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_transaction_by_block_hash_and_index[params1-False]","Verify implemented rpc calls work eth_getTransactionByBlockHashAndIndex"
"passed","Thu Apr 28 16:06:09 GMT 2022","Thu Apr 28 16:06:11 GMT 2022","2283","integration.tests.basic","test_transfers","TestTransfer","","","test_send_neon_from_one_account_to_another[0.01]","Send neon from one account to another"
"passed","Thu Apr 28 16:02:22 GMT 2022","Thu Apr 28 16:02:22 GMT 2022","130","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_net_peer_count[None-False]","Verify implemented rpc calls work net_peerCount"
"passed","Thu Apr 28 16:02:42 GMT 2022","Thu Apr 28 16:02:42 GMT 2022","138","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_create_account_and_get_balance","Create account and get balance"
"passed","Thu Apr 28 16:04:44 GMT 2022","Thu Apr 28 16:04:59 GMT 2022","14269","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_multiple_requests[1]","Verify faucet work (request drop for several accounts): double request"
"passed","Thu Apr 28 16:02:15 GMT 2022","Thu Apr 28 16:02:17 GMT 2022","1648","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_eth_get_transaction_receipt","Verify implemented rpc calls work eth_getTransactionReceipt"
"passed","Thu Apr 28 16:02:25 GMT 2022","Thu Apr 28 16:02:25 GMT 2022","126","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_hash_rate[None-False]","Verify implemented rpc calls work eth_hashrate"
"passed","Thu Apr 28 16:02:19 GMT 2022","Thu Apr 28 16:02:19 GMT 2022","158","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_block_by_number_via_tags[Tag.LATEST-False]","Verify implemented rpc calls work eth_getBlockByNumber"
"passed","Thu Apr 28 16:02:23 GMT 2022","Thu Apr 28 16:02:23 GMT 2022","128","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_block_transaction_count_by_number[None-True]","Verify implemented rpc calls work eth_getBlockTransactionCountByNumber"
"passed","Thu Apr 28 16:07:19 GMT 2022","Thu Apr 28 16:07:21 GMT 2022","1920","integration.tests.basic","test_transfers","TestTransactionsValidation","","","test_send_with_old_nonce","Nonce is too low"
"passed","Thu Apr 28 16:06:23 GMT 2022","Thu Apr 28 16:06:27 GMT 2022","4180","integration.tests.basic","test_transfers","TestTransfer","","","test_send_erc20_token_from_one_account_to_another[100]","Send erc20 token from one account to another"
"passed","Thu Apr 28 16:02:23 GMT 2022","Thu Apr 28 16:02:23 GMT 2022","141","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_block_transaction_count_by_number[earliest-False]","Verify implemented rpc calls work eth_getBlockTransactionCountByNumber"
"passed","Thu Apr 28 16:02:26 GMT 2022","Thu Apr 28 16:02:26 GMT 2022","129","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[eth_compileSerpent]","Check that endpoint was not implemented"
"passed","Thu Apr 28 16:02:14 GMT 2022","Thu Apr 28 16:02:15 GMT 2022","1415","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_eth_get_transaction_by_hash","Verify implemented rpc calls work eth_getTransactionByHash"
"passed","Thu Apr 28 16:02:28 GMT 2022","Thu Apr 28 16:02:28 GMT 2022","127","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[eth_submitHashrate]","Check that endpoint was not implemented"
"passed","Thu Apr 28 16:02:24 GMT 2022","Thu Apr 28 16:02:24 GMT 2022","126","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_transaction_by_block_number_and_index[params1-False]","Verify implemented rpc calls work eth_getTransactionByBlockNumberAndIndex"
"passed","Thu Apr 28 16:02:28 GMT 2022","Thu Apr 28 16:02:29 GMT 2022","126","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[shh_hasIdentity]","Check that endpoint was not implemented"
"passed","Thu Apr 28 16:02:02 GMT 2022","Thu Apr 28 16:02:03 GMT 2022","801","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_estimate_gas[params0-False]","Verify implemented rpc calls work eth_estimateGas"
"passed","Thu Apr 28 16:04:21 GMT 2022","Thu Apr 28 16:04:29 GMT 2022","7805","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_single_request[999]","Verify faucet work (request drop for several accounts): single request"
