"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Mar 21 16:16:21 GMT 2022","Mon Mar 21 16:16:32 GMT 2022","11148","integration.tests.economy","test_economics","TestEconomics","","","test_erc20wrapper_transfer",""
"passed","Mon Mar 21 16:19:48 GMT 2022","Mon Mar 21 16:20:05 GMT 2022","17285","integration.tests.economy","test_economics","TestEconomics","","","test_tx_interact_more_1kb","Send to contract a big text (tx more than 1 kb)"
"skipped","Mon Mar 21 16:19:33 GMT 2022","Mon Mar 21 16:19:39 GMT 2022","6601","integration.tests.economy","test_economics","TestEconomics","","","test_contract_interact_more_500000_bpf_less_gas","Deploy a contract with more 500000 bpf"
"broken","Mon Mar 21 16:16:32 GMT 2022","Mon Mar 21 16:16:38 GMT 2022","5783","integration.tests.economy","test_economics","TestEconomics","","","test_withdraw_neon_unexisting_ata",""
"broken","Mon Mar 21 16:19:39 GMT 2022","Mon Mar 21 16:19:47 GMT 2022","8117","integration.tests.economy","test_economics","TestEconomics","","","test_contract_interact_more_500000_bpf_less_neon","Deploy a contract with more 500000 bpf"
"skipped","Mon Mar 21 16:19:26 GMT 2022","Mon Mar 21 16:19:32 GMT 2022","6814","integration.tests.economy","test_economics","TestEconomics","","","test_contract_interact_more_500000_bpf","Deploy a contract with more 500000 bpf"
"passed","Mon Mar 21 16:20:31 GMT 2022","Mon Mar 21 16:20:42 GMT 2022","10970","integration.tests.economy","test_economics","TestEconomics","","","test_deploy_contract_more_1kb",""
"passed","Mon Mar 21 16:21:04 GMT 2022","Mon Mar 21 16:21:17 GMT 2022","13762","integration.tests.economy","test_economics","TestEconomics","","","test_deploy_contract_to_payed",""
"passed","Mon Mar 21 16:14:18 GMT 2022","Mon Mar 21 16:14:28 GMT 2022","9518","integration.tests.economy","test_economics","TestEconomics","","","test_account_creation","Verify account creation spend SOL"
"broken","Mon Mar 21 16:16:38 GMT 2022","Mon Mar 21 16:16:58 GMT 2022","20632","integration.tests.economy","test_economics","TestEconomics","","","test_withdraw_neon_existing_ata",""
