"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sat Apr 16 18:55:22 GMT 2022","Sat Apr 16 18:55:22 GMT 2022","0","integration.tests.basic","test_transfers","TestTransfer","","","test_send_more_than_exist_on_account_spl[0.01]","Send more than exist on account: spl (with different precision)"
"passed","Sat Apr 16 18:54:51 GMT 2022","Sat Apr 16 18:55:06 GMT 2022","15005","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_multiple_requests[20000]","Verify faucet work (request drop for several accounts): double request"
"passed","Sat Apr 16 18:53:43 GMT 2022","Sat Apr 16 18:53:51 GMT 2022","8361","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_single_request[20000]","Verify faucet work (request drop for several accounts): single request"
"passed","Sat Apr 16 18:55:26 GMT 2022","Sat Apr 16 18:55:26 GMT 2022","495","integration.tests.basic","test_transfers","TestTransfer","","","test_send_negative_sum_from_account_neon","Send negative sum from account: neon"
"passed","Sat Apr 16 18:52:51 GMT 2022","Sat Apr 16 18:52:52 GMT 2022","195","integration.tests.basic","test_blocks","TestRpcCallsBlocks","","","test_rpc_call_eth_blockNumber","Verify implemented rpc calls work work eth_blockNumber"
"broken","Sat Apr 16 18:55:10 GMT 2022","Sat Apr 16 18:55:12 GMT 2022","1797","integration.tests.basic","test_transfers","TestTransfer","","","test_send_neon_from_one_account_to_another[0.01]","Send neon from one account to another"
"passed","Sat Apr 16 18:52:48 GMT 2022","Sat Apr 16 18:52:48 GMT 2022","162","integration.tests.basic","test_blocks","TestRpcCallsBlocks","","","test_rpc_call_eth_getBlockByNumber_via_tags[Tag.EARLIEST-True]","Verify implemented rpc calls work eth_getBlockByNumber"
"failed","Sat Apr 16 18:55:18 GMT 2022","Sat Apr 16 18:55:19 GMT 2022","836","integration.tests.basic","test_transfers","TestTransfer","","","test_send_more_than_exist_on_account_neon[1501]","Send more than exist on account: neon"
"broken","Sat Apr 16 18:55:44 GMT 2022","Sat Apr 16 18:55:45 GMT 2022","1030","integration.tests.basic","test_transfers","TestRpcCallsTransactions","","","test_rpc_call_eth_getTransactionReceipt","Verify implemented rpc calls work eth_getTransactionReceipt"
"failed","Sat Apr 16 18:53:01 GMT 2022","Sat Apr 16 18:53:02 GMT 2022","835","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_eth_getLogs_via_tags[latest-earliest]","Verify implemented rpc calls work eth_getLogs"
"passed","Sat Apr 16 18:52:55 GMT 2022","Sat Apr 16 18:52:57 GMT 2022","1625","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_eth_call","Verify implemented rpc calls work eth_call"
"failed","Sat Apr 16 18:55:57 GMT 2022","Sat Apr 16 18:55:57 GMT 2022","342","integration.tests.basic","test_transfers","TestRpcCallsTransactionsValidation","","","test_generate_bad_sign[1-18446744073709551616-insufficient funds for transfer]","Generate bad sign (when v, r, s over allowed size)
        Too low gas_limit
        Too high gas_limit > u64::max
        Too high gas_limit > u64::max
        Too high gas_price > u64::max
        Too high gas_limit * gas_price > u64::max
        "
"skipped","Sat Apr 16 18:53:05 GMT 2022","Sat Apr 16 18:53:05 GMT 2022","0","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_eht_getStorageAt","Verify implemented rpc calls work eht_getStorageAt"
"passed","Sat Apr 16 18:52:48 GMT 2022","Sat Apr 16 18:52:48 GMT 2022","178","integration.tests.basic","test_blocks","TestRpcCallsBlocks","","","test_rpc_call_eth_getBlockByNumber_via_tags[Tag.LATEST-True]","Verify implemented rpc calls work eth_getBlockByNumber"
"passed","Sat Apr 16 18:52:45 GMT 2022","Sat Apr 16 18:52:48 GMT 2022","2705","integration.tests.basic","test_blocks","TestRpcCallsBlocks","","","test_rpc_call_eth_getBlockByHash","Verify implemented rpc calls work eth_getBlockByHash"
"passed","Sat Apr 16 18:52:59 GMT 2022","Sat Apr 16 18:52:59 GMT 2022","833","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_eth_getLogs_via_tags[latest-latest]","Verify implemented rpc calls work eth_getLogs"
"broken","Sat Apr 16 18:55:14 GMT 2022","Sat Apr 16 18:55:15 GMT 2022","1041","integration.tests.basic","test_transfers","TestTransfer","","","test_send_neon_from_one_account_to_another[1]","Send neon from one account to another"
"failed","Sat Apr 16 18:55:29 GMT 2022","Sat Apr 16 18:55:30 GMT 2022","1687","integration.tests.basic","test_transfers","TestTransfer","","","test_there_are_not_enough_neons_for_gas_fee","There are not enough Neons for gas fee"
"failed","Sat Apr 16 18:55:59 GMT 2022","Sat Apr 16 18:55:59 GMT 2022","343","integration.tests.basic","test_transfers","TestRpcCallsTransactionsValidation","","","test_generate_bad_sign[1000-18446744073709552-insufficient funds for transfer]","Generate bad sign (when v, r, s over allowed size)
        Too low gas_limit
        Too high gas_limit > u64::max
        Too high gas_limit > u64::max
        Too high gas_price > u64::max
        Too high gas_limit * gas_price > u64::max
        "
"broken","Sat Apr 16 18:55:41 GMT 2022","Sat Apr 16 18:55:42 GMT 2022","1197","integration.tests.basic","test_transfers","TestRpcCallsTransactions","","","test_rpc_call_eth_getTransactionByHash","Verify implemented rpc calls work eth_getTransactionByHash"
"passed","Sat Apr 16 18:52:59 GMT 2022","Sat Apr 16 18:53:00 GMT 2022","834","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_eth_getLogs_via_tags[earliest-latest]","Verify implemented rpc calls work eth_getLogs"
"passed","Sat Apr 16 18:53:17 GMT 2022","Sat Apr 16 18:53:26 GMT 2022","8364","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_single_request[5]","Verify faucet work (request drop for several accounts): single request"
"passed","Sat Apr 16 18:55:35 GMT 2022","Sat Apr 16 18:55:37 GMT 2022","1916","integration.tests.basic","test_transfers","TestRpcCallsTransactions","","","test_rpc_call_eth_getTransactionCount","Verify implemented rpc calls work eth_getTransactionCount"
"failed","Sat Apr 16 18:53:03 GMT 2022","Sat Apr 16 18:53:04 GMT 2022","835","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_eth_getLogs_via_numbers","Verify implemented rpc calls work eth_getLogs"
"passed","Sat Apr 16 18:52:48 GMT 2022","Sat Apr 16 18:52:49 GMT 2022","164","integration.tests.basic","test_blocks","TestRpcCallsBlocks","","","test_rpc_call_eth_getBlockByNumber_via_tags[Tag.PENDING-False]","Verify implemented rpc calls work eth_getBlockByNumber"
"passed","Sat Apr 16 18:52:58 GMT 2022","Sat Apr 16 18:52:58 GMT 2022","179","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_eth_estimateGas","Verify implemented rpc calls work eth_estimateGas"
"passed","Sat Apr 16 18:53:00 GMT 2022","Sat Apr 16 18:53:01 GMT 2022","835","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_eth_getLogs_via_tags[pending-latest]","Verify implemented rpc calls work eth_getLogs"
"skipped","Sat Apr 16 18:55:26 GMT 2022","Sat Apr 16 18:55:26 GMT 2022","0","integration.tests.basic","test_transfers","TestTransfer","","","test_send_negative_sum_from_account_spl","Send negative sum from account: spl (with different precision)"
"passed","Sat Apr 16 18:55:24 GMT 2022","Sat Apr 16 18:55:24 GMT 2022","0","integration.tests.basic","test_transfers","TestTransfer","","","test_zero_erc20","Send zero: ERC20"
"skipped","Sat Apr 16 18:55:26 GMT 2022","Sat Apr 16 18:55:26 GMT 2022","0","integration.tests.basic","test_transfers","TestTransfer","","","test_send_negative_sum_from_account_erc20","Send negative sum from account: ERC20"
"failed","Sat Apr 16 18:55:53 GMT 2022","Sat Apr 16 18:55:54 GMT 2022","505","integration.tests.basic","test_transfers","TestRpcCallsTransactionsValidation","","","test_generate_bad_sign[18446744073709551616-None-insufficient funds for transfer]","Generate bad sign (when v, r, s over allowed size)
        Too low gas_limit
        Too high gas_limit > u64::max
        Too high gas_limit > u64::max
        Too high gas_price > u64::max
        Too high gas_limit * gas_price > u64::max
        "
"passed","Sat Apr 16 18:53:08 GMT 2022","Sat Apr 16 18:53:09 GMT 2022","836","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_check_tokens_in_wallet_neon","Check tokens in wallet: neon"
"passed","Sat Apr 16 18:52:48 GMT 2022","Sat Apr 16 18:52:48 GMT 2022","162","integration.tests.basic","test_blocks","TestRpcCallsBlocks","","","test_rpc_call_eth_getBlockByNumber_via_tags[Tag.EARLIEST-False]","Verify implemented rpc calls work eth_getBlockByNumber"
"passed","Sat Apr 16 18:52:58 GMT 2022","Sat Apr 16 18:52:59 GMT 2022","162","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_eth_gasPrice","Verify implemented rpc calls work eth_gasPrice"
"failed","Sat Apr 16 18:55:47 GMT 2022","Sat Apr 16 18:55:47 GMT 2022","704","integration.tests.basic","test_transfers","TestRpcCallsTransactions","","","test_check_erc_1820_transaction","Check ERC-1820 transaction (without chain_id in sign)"
"failed","Sat Apr 16 18:55:51 GMT 2022","Sat Apr 16 18:55:52 GMT 2022","533","integration.tests.basic","test_transfers","TestRpcCallsTransactionsValidation","","","test_generate_bad_sign[1-None-gas limit reached]","Generate bad sign (when v, r, s over allowed size)
        Too low gas_limit
        Too high gas_limit > u64::max
        Too high gas_limit > u64::max
        Too high gas_price > u64::max
        Too high gas_limit * gas_price > u64::max
        "
"failed","Sat Apr 16 18:55:39 GMT 2022","Sat Apr 16 18:55:40 GMT 2022","1041","integration.tests.basic","test_transfers","TestRpcCallsTransactions","","","test_rpc_call_eth_sendRawTransaction","Verify implemented rpc calls work eth_sendRawTransaction"
