"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Mar 11 20:02:14 GMT 2022","Fri Mar 11 20:02:14 GMT 2022","0","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_check_tokens_in_wallet_spl","Check tokens in wallet: spl"
"skipped","Fri Mar 11 20:02:14 GMT 2022","Fri Mar 11 20:02:14 GMT 2022","0","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_check_tokens_in_wallet_ERC20","Check tokens in wallet: ERC20"
"passed","Fri Mar 11 20:05:12 GMT 2022","Fri Mar 11 20:05:13 GMT 2022","1186","integration.tests.basic","test_transfers","TestTransfer","","","test_send_token_to_an_invalid_address","Send token to an invalid address"
"passed","Fri Mar 11 20:05:03 GMT 2022","Fri Mar 11 20:05:04 GMT 2022","1199","integration.tests.basic","test_transfers","TestTransfer","","","test_send_more_than_exist_on_account_neon[100]","Send more than exist on account: neon"
"skipped","Fri Mar 11 20:05:07 GMT 2022","Fri Mar 11 20:05:07 GMT 2022","0","integration.tests.basic","test_transfers","TestTransfer","","","test_send_more_than_exist_on_account_spl[1.1]","Send more than exist on account: spl (with different precision)"
"passed","Fri Mar 11 20:02:22 GMT 2022","Fri Mar 11 20:02:31 GMT 2022","8480","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_single_request[5]","Verify faucet work (request drop for several accounts): single request"
"passed","Fri Mar 11 20:01:54 GMT 2022","Fri Mar 11 20:01:55 GMT 2022","844","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_eth_getLogs_via_tags[latest-latest]","Verify implemented rpc calls work eth_getLogs"
"skipped","Fri Mar 11 20:02:01 GMT 2022","Fri Mar 11 20:02:01 GMT 2022","0","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_eht_getStorageAt","Verify implemented rpc calls work eht_getStorageAt"
"passed","Fri Mar 11 20:01:56 GMT 2022","Fri Mar 11 20:01:56 GMT 2022","845","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_eth_getLogs_via_tags[pending-latest]","Verify implemented rpc calls work eth_getLogs"
"passed","Fri Mar 11 20:02:47 GMT 2022","Fri Mar 11 20:02:56 GMT 2022","8468","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_single_request[20000]","Verify faucet work (request drop for several accounts): single request"
"failed","Fri Mar 11 20:01:52 GMT 2022","Fri Mar 11 20:01:54 GMT 2022","1523","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_eth_estimateGas","Verify implemented rpc calls work eth_estimateGas"
"skipped","Fri Mar 11 20:05:12 GMT 2022","Fri Mar 11 20:05:12 GMT 2022","0","integration.tests.basic","test_transfers","TestTransfer","","","test_send_negative_sum_from_account_spl","Send negative sum from account: spl (with different precision)"
"passed","Fri Mar 11 20:01:33 GMT 2022","Fri Mar 11 20:01:34 GMT 2022","190","integration.tests.basic","test_blocks","TestRpcCallsBlocks","","","test_rpc_call_eth_getBlockByNumber_via_tags[Tag.LATEST-True]","Verify implemented rpc calls work eth_getBlockByNumber"
"skipped","Fri Mar 11 20:05:12 GMT 2022","Fri Mar 11 20:05:12 GMT 2022","0","integration.tests.basic","test_transfers","TestTransfer","","","test_send_negative_sum_from_account_erc20","Send negative sum from account: ERC20"
"passed","Fri Mar 11 20:05:13 GMT 2022","Fri Mar 11 20:05:14 GMT 2022","1180","integration.tests.basic","test_transfers","TestTransfer","","","test_send_more_token_to_non_existing_address","Send token to a non-existing address"
"passed","Fri Mar 11 20:04:57 GMT 2022","Fri Mar 11 20:04:59 GMT 2022","2524","integration.tests.basic","test_transfers","TestTransfer","","","test_send_neon_from_one_account_to_another[1.1]","Send neon from one account to another"
"passed","Fri Mar 11 20:02:14 GMT 2022","Fri Mar 11 20:02:22 GMT 2022","8479","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_single_request[1]","Verify faucet work (request drop for several accounts): single request"
"passed","Fri Mar 11 20:03:27 GMT 2022","Fri Mar 11 20:03:42 GMT 2022","15200","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_multiple_requests[999]","Verify faucet work (request drop for several accounts): double request"
"passed","Fri Mar 11 20:02:12 GMT 2022","Fri Mar 11 20:02:13 GMT 2022","175","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_create_account_and_get_balance","Create account and get balance"
