"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 23 14:37:22 GMT 2022","Wed Mar 23 14:37:30 GMT 2022","8516","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_single_request[20000]","Verify faucet work (request drop for several accounts): single request"
"passed","Wed Mar 23 14:39:08 GMT 2022","Wed Mar 23 14:39:10 GMT 2022","2347","integration.tests.basic","test_transfers","TestTransfer","","","test_send_neon_from_one_account_to_another[1]","Send neon from one account to another"
"passed","Wed Mar 23 14:39:26 GMT 2022","Wed Mar 23 14:39:27 GMT 2022","1200","integration.tests.basic","test_transfers","TestTransfer","","","test_send_more_token_to_non_existing_address","Send token to a non-existing address"
"passed","Wed Mar 23 14:39:24 GMT 2022","Wed Mar 23 14:39:25 GMT 2022","515","integration.tests.basic","test_transfers","TestTransfer","","","test_send_negative_sum_from_account_neon","Send negative sum from account: neon"
"failed","Wed Mar 23 14:36:38 GMT 2022","Wed Mar 23 14:36:39 GMT 2022","849","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_eth_getLogs_via_tags[earliest-latest]","Verify implemented rpc calls work eth_getLogs"
"passed","Wed Mar 23 14:36:37 GMT 2022","Wed Mar 23 14:36:37 GMT 2022","170","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_eth_gasPrice","Verify implemented rpc calls work eth_gasPrice"
"passed","Wed Mar 23 14:36:56 GMT 2022","Wed Mar 23 14:37:05 GMT 2022","8520","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_single_request[5]","Verify faucet work (request drop for several accounts): single request"
"passed","Wed Mar 23 14:38:59 GMT 2022","Wed Mar 23 14:39:01 GMT 2022","1691","integration.tests.basic","test_transactions","TestRpcCallsTransactions","","","test_rpc_call_eth_getTransactionReceipt","Verify implemented rpc calls work eth_getTransactionReceipt"
"passed","Wed Mar 23 14:36:40 GMT 2022","Wed Mar 23 14:36:41 GMT 2022","851","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_eth_getLogs_via_tags[latest-pending]","Verify implemented rpc calls work eth_getLogs"
"broken","Wed Mar 23 14:36:28 GMT 2022","Wed Mar 23 14:36:29 GMT 2022","1155","integration.tests.basic","test_blocks","TestRpcCallsBlocks","","","test_rpc_call_eth_getBlockByNumber_via_numbers","Verify implemented rpc calls work eth_getBlockByNumber"
"passed","Wed Mar 23 14:36:29 GMT 2022","Wed Mar 23 14:36:30 GMT 2022","173","integration.tests.basic","test_blocks","TestRpcCallsBlocks","","","test_rpc_call_eth_blockNumber","Verify implemented rpc calls work work eth_blockNumber"
"passed","Wed Mar 23 14:36:40 GMT 2022","Wed Mar 23 14:36:40 GMT 2022","858","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_eth_getLogs_via_tags[latest-earliest]","Verify implemented rpc calls work eth_getLogs"
"skipped","Wed Mar 23 14:39:23 GMT 2022","Wed Mar 23 14:39:23 GMT 2022","0","integration.tests.basic","test_transfers","TestTransfer","","","test_zero_spl","Send zero: spl (with different precision)"
"skipped","Wed Mar 23 14:36:48 GMT 2022","Wed Mar 23 14:36:48 GMT 2022","0","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_check_tokens_in_wallet_ERC20","Check tokens in wallet: ERC20"
