"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Apr 14 15:03:46 GMT 2022","Thu Apr 14 15:03:46 GMT 2022","0","integration.tests.basic","test_transfers","TestTransfer","","","test_send_more_than_exist_on_account_erc20","Send more than exist on account: ERC20"
"failed","Thu Apr 14 15:01:25 GMT 2022","Thu Apr 14 15:01:26 GMT 2022","839","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_eth_getLogs_via_tags[latest-pending]","Verify implemented rpc calls work eth_getLogs"
"failed","Thu Apr 14 15:04:04 GMT 2022","Thu Apr 14 15:04:05 GMT 2022","1187","integration.tests.basic","test_transfers","TestTransfer","","","test_too_high_gas_limit_by_gas_prise_greater_than_u64_max[1000-18446744073709552]","Too high gas_limit * gas_price > u64::max"
"passed","Thu Apr 14 15:01:11 GMT 2022","Thu Apr 14 15:01:11 GMT 2022","171","integration.tests.basic","test_blocks","TestRpcCallsBlocks","","","test_rpc_call_eth_getBlockByNumber_via_tags[Tag.LATEST-False]","Verify implemented rpc calls work eth_getBlockByNumber"
"passed","Thu Apr 14 15:01:26 GMT 2022","Thu Apr 14 15:01:26 GMT 2022","839","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_eth_getLogs_via_numbers","Verify implemented rpc calls work eth_getLogs"
"passed","Thu Apr 14 15:01:14 GMT 2022","Thu Apr 14 15:01:14 GMT 2022","169","integration.tests.basic","test_blocks","TestRpcCallsBlocks","","","test_rpc_call_eth_blockNumber","Verify implemented rpc calls work work eth_blockNumber"
"passed","Thu Apr 14 15:01:21 GMT 2022","Thu Apr 14 15:01:21 GMT 2022","167","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_eth_gasPrice","Verify implemented rpc calls work eth_gasPrice"
"passed","Thu Apr 14 15:01:11 GMT 2022","Thu Apr 14 15:01:11 GMT 2022","178","integration.tests.basic","test_blocks","TestRpcCallsBlocks","","","test_rpc_call_eth_getBlockByNumber_via_tags[Tag.LATEST-True]","Verify implemented rpc calls work eth_getBlockByNumber"
"passed","Thu Apr 14 15:01:11 GMT 2022","Thu Apr 14 15:01:11 GMT 2022","166","integration.tests.basic","test_blocks","TestRpcCallsBlocks","","","test_rpc_call_eth_getBlockByNumber_via_tags[Tag.PENDING-True]","Verify implemented rpc calls work eth_getBlockByNumber"
"failed","Thu Apr 14 15:01:23 GMT 2022","Thu Apr 14 15:01:24 GMT 2022","841","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_eth_getLogs_via_tags[pending-latest]","Verify implemented rpc calls work eth_getLogs"
"skipped","Thu Apr 14 15:01:28 GMT 2022","Thu Apr 14 15:01:28 GMT 2022","0","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_eht_getStorageAt","Verify implemented rpc calls work eht_getStorageAt"
"passed","Thu Apr 14 15:03:49 GMT 2022","Thu Apr 14 15:03:50 GMT 2022","506","integration.tests.basic","test_transfers","TestTransfer","","","test_send_negative_sum_from_account_neon","Send negative sum from account: neon"
"passed","Thu Apr 14 15:04:27 GMT 2022","Thu Apr 14 15:04:29 GMT 2022","1476","integration.tests.basic","test_transfers","TestRpcCallsTransactionsValidation","","","test_generate_bad_sign","Generate bad sign (when v, r, s over allowed size)"
"failed","Thu Apr 14 15:03:45 GMT 2022","Thu Apr 14 15:03:45 GMT 2022","848","integration.tests.basic","test_transfers","TestTransfer","","","test_send_more_than_exist_on_account_neon[10000.1]","Send more than exist on account: neon"
"passed","Thu Apr 14 15:01:28 GMT 2022","Thu Apr 14 15:01:29 GMT 2022","174","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_net_version","Verify implemented rpc calls work work net_version"
"passed","Thu Apr 14 15:01:31 GMT 2022","Thu Apr 14 15:01:32 GMT 2022","843","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_check_tokens_in_wallet_neon","Check tokens in wallet: neon"
"broken","Thu Apr 14 15:03:40 GMT 2022","Thu Apr 14 15:03:41 GMT 2022","1051","integration.tests.basic","test_transfers","TestTransfer","","","test_send_neon_from_one_account_to_another[1.1]","Send neon from one account to another"
"passed","Thu Apr 14 15:01:11 GMT 2022","Thu Apr 14 15:01:11 GMT 2022","166","integration.tests.basic","test_blocks","TestRpcCallsBlocks","","","test_rpc_call_eth_getBlockByNumber_via_tags[Tag.EARLIEST-False]","Verify implemented rpc calls work eth_getBlockByNumber"
"passed","Thu Apr 14 15:01:26 GMT 2022","Thu Apr 14 15:01:27 GMT 2022","841","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_eth_getBalance","Verify implemented rpc calls work eth_getBalance"
"passed","Thu Apr 14 15:01:40 GMT 2022","Thu Apr 14 15:01:49 GMT 2022","8414","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_single_request[5]","Verify faucet work (request drop for several accounts): single request"
"skipped","Thu Apr 14 15:03:48 GMT 2022","Thu Apr 14 15:03:48 GMT 2022","0","integration.tests.basic","test_transfers","TestTransfer","","","test_zero_spl","Send zero: spl (with different precision)"
"passed","Thu Apr 14 15:03:51 GMT 2022","Thu Apr 14 15:03:52 GMT 2022","1175","integration.tests.basic","test_transfers","TestTransfer","","","test_send_more_token_to_non_existing_address","Send token to a non-existing address"
"passed","Thu Apr 14 15:02:06 GMT 2022","Thu Apr 14 15:02:14 GMT 2022","8443","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_single_request[20000]","Verify faucet work (request drop for several accounts): single request"
"failed","Thu Apr 14 15:03:57 GMT 2022","Thu Apr 14 15:03:58 GMT 2022","514","integration.tests.basic","test_transfers","TestTransfer","","","test_too_low_gas_limit[18446744073709551616-None-insufficient funds for transfer]","Too low gas_limit"
"skipped","Thu Apr 14 15:03:46 GMT 2022","Thu Apr 14 15:03:46 GMT 2022","0","integration.tests.basic","test_transfers","TestTransfer","","","test_send_more_than_exist_on_account_spl[1]","Send more than exist on account: spl (with different precision)"
"broken","Thu Apr 14 15:01:09 GMT 2022","Thu Apr 14 15:01:10 GMT 2022","1061","integration.tests.basic","test_blocks","TestRpcCallsBlocks","","","test_rpc_call_eth_getBlockByHash","Verify implemented rpc calls work eth_getBlockByHash"
"failed","Thu Apr 14 15:03:59 GMT 2022","Thu Apr 14 15:04:00 GMT 2022","861","integration.tests.basic","test_transfers","TestTransfer","","","test_too_low_gas_limit[0-18446744073709551616-insufficient funds for transfer]","Too low gas_limit"
"failed","Thu Apr 14 15:04:23 GMT 2022","Thu Apr 14 15:04:23 GMT 2022","759","integration.tests.basic","test_transfers","TestRpcCallsTransactions","","","test_check_erc_1820_transaction","Check ERC-1820 transaction (without chain_id in sign)"
"passed","Thu Apr 14 15:01:31 GMT 2022","Thu Apr 14 15:01:31 GMT 2022","174","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_create_account_and_get_balance","Create account and get balance"
"passed","Thu Apr 14 15:02:14 GMT 2022","Thu Apr 14 15:02:29 GMT 2022","15091","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_multiple_requests[1]","Verify faucet work (request drop for several accounts): double request"
"passed","Thu Apr 14 15:02:29 GMT 2022","Thu Apr 14 15:02:44 GMT 2022","15274","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_multiple_requests[5]","Verify faucet work (request drop for several accounts): double request"
"passed","Thu Apr 14 15:01:21 GMT 2022","Thu Apr 14 15:01:21 GMT 2022","183","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_eth_estimateGas","Verify implemented rpc calls work eth_estimateGas"
"passed","Thu Apr 14 15:03:15 GMT 2022","Thu Apr 14 15:03:30 GMT 2022","15085","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_multiple_requests[20000]","Verify faucet work (request drop for several accounts): double request"
"passed","Thu Apr 14 15:03:55 GMT 2022","Thu Apr 14 15:03:56 GMT 2022","675","integration.tests.basic","test_transfers","TestTransfer","","","test_too_low_gas_limit[0.01-None-Transaction had invalid fields: {'gas']","Too low gas_limit"
"skipped","Thu Apr 14 15:03:50 GMT 2022","Thu Apr 14 15:03:50 GMT 2022","0","integration.tests.basic","test_transfers","TestTransfer","","","test_send_negative_sum_from_account_erc20","Send negative sum from account: ERC20"
"broken","Thu Apr 14 15:03:47 GMT 2022","Thu Apr 14 15:03:48 GMT 2022","1066","integration.tests.basic","test_transfers","TestTransfer","","","test_zero_neon","Send zero: neon"
"failed","Thu Apr 14 15:01:27 GMT 2022","Thu Apr 14 15:01:28 GMT 2022","840","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_eth_getCode","Verify implemented rpc calls work eth_getCode"
"broken","Thu Apr 14 15:01:13 GMT 2022","Thu Apr 14 15:01:14 GMT 2022","1049","integration.tests.basic","test_blocks","TestRpcCallsBlocks","","","test_rpc_call_eth_getBlockByNumber_via_numbers","Verify implemented rpc calls work eth_getBlockByNumber"
"passed","Thu Apr 14 15:01:32 GMT 2022","Thu Apr 14 15:01:40 GMT 2022","8465","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_single_request[1]","Verify faucet work (request drop for several accounts): single request"
"broken","Thu Apr 14 15:04:20 GMT 2022","Thu Apr 14 15:04:21 GMT 2022","1053","integration.tests.basic","test_transfers","TestRpcCallsTransactions","","","test_rpc_call_eth_getTransactionReceipt","Verify implemented rpc calls work eth_getTransactionReceipt"
"failed","Thu Apr 14 15:04:15 GMT 2022","Thu Apr 14 15:04:16 GMT 2022","1214","integration.tests.basic","test_transfers","TestRpcCallsTransactions","","","test_rpc_call_eth_sendRawTransaction","Verify implemented rpc calls work eth_sendRawTransaction"
"passed","Thu Apr 14 15:04:17 GMT 2022","Thu Apr 14 15:04:19 GMT 2022","1549","integration.tests.basic","test_transfers","TestRpcCallsTransactions","","","test_rpc_call_eth_getTransactionByHash","Verify implemented rpc calls work eth_getTransactionByHash"
"failed","Thu Apr 14 15:03:42 GMT 2022","Thu Apr 14 15:03:43 GMT 2022","853","integration.tests.basic","test_transfers","TestTransfer","","","test_send_more_than_exist_on_account_neon[1501]","Send more than exist on account: neon"
"failed","Thu Apr 14 15:03:54 GMT 2022","Thu Apr 14 15:03:54 GMT 2022","542","integration.tests.basic","test_transfers","TestTransfer","","","test_too_low_gas_limit[1-None-gas limit reached]","Too low gas_limit"
"failed","Thu Apr 14 15:04:05 GMT 2022","Thu Apr 14 15:04:07 GMT 2022","1705","integration.tests.basic","test_transfers","TestTransfer","","","test_there_are_not_enough_neons_for_gas_fee","There are not enough Neons for gas fee"
"skipped","Thu Apr 14 15:01:32 GMT 2022","Thu Apr 14 15:01:32 GMT 2022","0","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_check_tokens_in_wallet_ERC20","Check tokens in wallet: ERC20"
"skipped","Thu Apr 14 15:01:32 GMT 2022","Thu Apr 14 15:01:32 GMT 2022","0","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_check_tokens_in_wallet_spl","Check tokens in wallet: spl"
"passed","Thu Apr 14 15:01:49 GMT 2022","Thu Apr 14 15:01:57 GMT 2022","8417","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_single_request[999]","Verify faucet work (request drop for several accounts): single request"
"broken","Thu Apr 14 15:04:12 GMT 2022","Thu Apr 14 15:04:13 GMT 2022","1068","integration.tests.basic","test_transfers","TestRpcCallsTransactions","","","test_rpc_call_eth_getTransactionCount","Verify implemented rpc calls work eth_getTransactionCount"
"passed","Thu Apr 14 15:03:48 GMT 2022","Thu Apr 14 15:03:48 GMT 2022","0","integration.tests.basic","test_transfers","TestTransfer","","","test_zero_erc20","Send zero: ERC20"
"passed","Thu Apr 14 15:03:50 GMT 2022","Thu Apr 14 15:03:51 GMT 2022","1175","integration.tests.basic","test_transfers","TestTransfer","","","test_send_token_to_an_invalid_address","Send token to an invalid address"
"passed","Thu Apr 14 15:01:28 GMT 2022","Thu Apr 14 15:01:28 GMT 2022","169","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_web3_clientVersion","Verify implemented rpc calls work web3_clientVersion"
"failed","Thu Apr 14 15:04:02 GMT 2022","Thu Apr 14 15:04:03 GMT 2022","1019","integration.tests.basic","test_transfers","TestTransfer","","","test_too_high_gas_limit_by_gas_prise_greater_than_u64_max[1-18446744073709551616]","Too high gas_limit * gas_price > u64::max"
"skipped","Thu Apr 14 15:03:50 GMT 2022","Thu Apr 14 15:03:50 GMT 2022","0","integration.tests.basic","test_transfers","TestTransfer","","","test_send_negative_sum_from_account_spl","Send negative sum from account: spl (with different precision)"
"failed","Thu Apr 14 15:04:07 GMT 2022","Thu Apr 14 15:04:09 GMT 2022","1717","integration.tests.basic","test_transfers","TestTransfer","","","test_there_are_not_enough_neons_for_transfer","There are not enough Neons for transfer"
"skipped","Thu Apr 14 15:03:46 GMT 2022","Thu Apr 14 15:03:46 GMT 2022","0","integration.tests.basic","test_transfers","TestTransfer","","","test_send_more_than_exist_on_account_spl[1.1]","Send more than exist on account: spl (with different precision)"
"failed","Thu Apr 14 15:01:21 GMT 2022","Thu Apr 14 15:01:22 GMT 2022","841","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_eth_getLogs_via_tags[latest-latest]","Verify implemented rpc calls work eth_getLogs"
"passed","Thu Apr 14 15:02:44 GMT 2022","Thu Apr 14 15:03:00 GMT 2022","15250","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_multiple_requests[999]","Verify faucet work (request drop for several accounts): double request"
"passed","Thu Apr 14 15:03:37 GMT 2022","Thu Apr 14 15:03:39 GMT 2022","1996","integration.tests.basic","test_transfers","TestTransfer","","","test_send_neon_from_one_account_to_another[1]","Send neon from one account to another"
