"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Apr 17 20:45:11 GMT 2022","Sun Apr 17 20:45:12 GMT 2022","967","integration.tests.basic","test_transfers","TestRpcCallsTransactionsValidation","","","test_generate_bad_sign[1-None-gas limit reached]","Generate bad sign (when v, r, s over allowed size)
        Too low gas_limit
        Too high gas_limit > u64::max
        Too high gas_limit > u64::max
        Too high gas_price > u64::max
        Too high gas_limit * gas_price > u64::max
        "
"broken","Sun Apr 17 20:42:16 GMT 2022","Sun Apr 17 20:42:17 GMT 2022","1028","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_eth_call","Verify implemented rpc calls work eth_call"
"failed","Sun Apr 17 20:44:48 GMT 2022","Sun Apr 17 20:44:49 GMT 2022","1687","integration.tests.basic","test_transfers","TestTransfer","","","test_there_are_not_enough_neons_for_gas_fee","There are not enough Neons for gas fee"
"broken","Sun Apr 17 20:44:42 GMT 2022","Sun Apr 17 20:44:43 GMT 2022","1040","integration.tests.basic","test_transfers","TestTransfer","","","test_zero_neon","Send zero: neon"
"passed","Sun Apr 17 20:42:19 GMT 2022","Sun Apr 17 20:42:19 GMT 2022","179","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_eth_estimateGas","Verify implemented rpc calls work eth_estimateGas"
"passed","Sun Apr 17 20:42:21 GMT 2022","Sun Apr 17 20:42:22 GMT 2022","833","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_eth_getLogs_via_tags[pending-latest]","Verify implemented rpc calls work eth_getLogs"
"passed","Sun Apr 17 20:42:29 GMT 2022","Sun Apr 17 20:42:30 GMT 2022","837","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_check_tokens_in_wallet_neon","Check tokens in wallet: neon"
"skipped","Sun Apr 17 20:44:41 GMT 2022","Sun Apr 17 20:44:41 GMT 2022","0","integration.tests.basic","test_transfers","TestTransfer","","","test_send_more_than_exist_on_account_spl[1.1]","Send more than exist on account: spl (with different precision)"
"failed","Sun Apr 17 20:42:20 GMT 2022","Sun Apr 17 20:42:21 GMT 2022","835","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_eth_getLogs_via_tags[earliest-latest]","Verify implemented rpc calls work eth_getLogs"
"broken","Sun Apr 17 20:42:07 GMT 2022","Sun Apr 17 20:42:08 GMT 2022","1281","integration.tests.basic","test_blocks","TestRpcCallsBlocks","","","test_rpc_call_eth_getBlockByHash","Verify implemented rpc calls work eth_getBlockByHash"
