"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Apr 21 13:58:15 GMT 2022","Thu Apr 21 13:58:15 GMT 2022","0","integration.tests.basic","test_transfers","TestTransfer","","","test_send_neon_from_one_account_to_another[0.01]","Send neon from one account to another"
"failed","Thu Apr 21 13:58:15 GMT 2022","Thu Apr 21 13:58:15 GMT 2022","0","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_multiple_requests[1]","Verify faucet work (request drop for several accounts): double request"
"failed","Thu Apr 21 14:00:40 GMT 2022","Thu Apr 21 14:00:40 GMT 2022","0","integration.tests.basic","test_transfers","TestTransfer","","","test_send_negative_sum_from_account_neon","Send negative sum from account: neon"
"failed","Thu Apr 21 13:58:15 GMT 2022","Thu Apr 21 13:58:15 GMT 2022","0","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_single_request[10000]","Verify faucet work (request drop for several accounts): single request"
"failed","Thu Apr 21 14:00:40 GMT 2022","Thu Apr 21 14:00:40 GMT 2022","0","integration.tests.basic","test_transfers","TestTransfer","","","test_zero_spl","Send zero: spl (with different precision)"
"failed","Thu Apr 21 14:01:41 GMT 2022","Thu Apr 21 14:01:41 GMT 2022","0","integration.tests.basic","test_transfers","TestTransactionsValidation","","","test_send_with_big_nonce","Nonce is too high"
"failed","Thu Apr 21 14:00:40 GMT 2022","Thu Apr 21 14:00:40 GMT 2022","0","integration.tests.basic","test_transfers","TestTransfer","","","test_zero_erc20","Send zero: ERC20"
"failed","Thu Apr 21 13:56:14 GMT 2022","Thu Apr 21 13:56:14 GMT 2022","0","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_eth_getLogs_via_tags[pending-latest]","Verify implemented rpc calls work eth_getLogs"
"failed","Thu Apr 21 13:56:14 GMT 2022","Thu Apr 21 13:56:14 GMT 2022","0","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_web3_clientVersion","Verify implemented rpc calls work web3_clientVersion"
"failed","Thu Apr 21 13:58:15 GMT 2022","Thu Apr 21 13:58:15 GMT 2022","0","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_single_request[1]","Verify faucet work (request drop for several accounts): single request"
"failed","Thu Apr 21 14:00:40 GMT 2022","Thu Apr 21 14:00:40 GMT 2022","0","integration.tests.basic","test_transfers","TestTransfer","","","test_send_more_token_to_non_existing_address","Send token to a non-existing address"
"failed","Thu Apr 21 14:00:40 GMT 2022","Thu Apr 21 14:00:40 GMT 2022","0","integration.tests.basic","test_transfers","TestTransfer","","","test_send_negative_sum_from_account_spl","Send negative sum from account: spl (with different precision)"
"failed","Thu Apr 21 13:55:14 GMT 2022","Thu Apr 21 13:55:14 GMT 2022","0","integration.tests.basic","test_blocks","TestRpcCallsBlocks","","","test_rpc_call_eth_getBlockByNumber_via_tags[Tag.LATEST-False]","Verify implemented rpc calls work eth_getBlockByNumber"
