"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Apr 28 16:02:07 GMT 2022","Thu Apr 28 16:02:07 GMT 2022","0","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_estimate_gas[params1-True]","Verify implemented rpc calls work eth_estimateGas"
"failed","Thu Apr 28 16:03:31 GMT 2022","Thu Apr 28 16:03:31 GMT 2022","0","integration.tests.basic","test_transfers","TestTransfer","","","test_zero_erc20","Send zero: ERC20"
"failed","Thu Apr 28 16:02:08 GMT 2022","Thu Apr 28 16:02:08 GMT 2022","0","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_create_account_and_get_balance","Create account and get balance"
"skipped","Thu Apr 28 16:03:31 GMT 2022","Thu Apr 28 16:03:31 GMT 2022","0","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_check_tokens_in_wallet_ERC20","Check tokens in wallet: ERC20"
"broken","Thu Apr 28 16:02:08 GMT 2022","Thu Apr 28 16:02:08 GMT 2022","0","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_check_tokens_in_wallet_spl","Check tokens in wallet: spl"
"failed","Thu Apr 28 16:02:07 GMT 2022","Thu Apr 28 16:02:07 GMT 2022","0","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_work[None-False]","Verify implemented rpc calls work eth_getWork"
"failed","Thu Apr 28 16:02:07 GMT 2022","Thu Apr 28 16:02:07 GMT 2022","0","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_net_version","Verify implemented rpc calls work work net_version"
"failed","Thu Apr 28 16:02:07 GMT 2022","Thu Apr 28 16:02:07 GMT 2022","0","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_call[params1-True]","Verify implemented rpc calls work eth_call"
"failed","Thu Apr 28 16:02:07 GMT 2022","Thu Apr 28 16:02:07 GMT 2022","0","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_logs_via_numbers","Verify implemented rpc calls work eth_getLogs"
"failed","Thu Apr 28 16:02:07 GMT 2022","Thu Apr 28 16:02:07 GMT 2022","0","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_net_peer_count[param-True]","Verify implemented rpc calls work net_peerCount"
"failed","Thu Apr 28 16:02:07 GMT 2022","Thu Apr 28 16:02:07 GMT 2022","0","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_transaction_by_block_hash_and_index[params2-True]","Verify implemented rpc calls work eth_getTransactionByBlockHashAndIndex"
"failed","Thu Apr 28 16:02:07 GMT 2022","Thu Apr 28 16:02:07 GMT 2022","0","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_transaction_by_block_hash_and_index[params0-False]","Verify implemented rpc calls work eth_getTransactionByBlockHashAndIndex"
"failed","Thu Apr 28 16:02:07 GMT 2022","Thu Apr 28 16:02:07 GMT 2022","0","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[eth_compileSerpent]","Check that endpoint was not implemented"
"failed","Thu Apr 28 16:02:06 GMT 2022","Thu Apr 28 16:02:06 GMT 2022","0","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_call[params0-False]","Verify implemented rpc calls work eth_call"
"failed","Thu Apr 28 16:02:07 GMT 2022","Thu Apr 28 16:02:07 GMT 2022","0","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_rpc_call_eth_get_transaction_count","Verify implemented rpc calls work eth_getTransactionCount"
"failed","Thu Apr 28 16:02:08 GMT 2022","Thu Apr 28 16:02:08 GMT 2022","0","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[shh_getMessages]","Check that endpoint was not implemented"
"failed","Thu Apr 28 16:03:32 GMT 2022","Thu Apr 28 16:03:32 GMT 2022","0","integration.tests.basic","test_transfers","TestTransactionsValidation","","","test_generate_bad_sign[0-18446744073709551616-insufficient funds for transfer]","Generate bad sign (when v, r, s over allowed size)
        Too low gas_limit
        Too high gas_limit > u64::max
        Too high gas_limit > u64::max
        Too high gas_price > u64::max
        Too high gas_limit * gas_price > u64::max
        "
"failed","Thu Apr 28 16:02:07 GMT 2022","Thu Apr 28 16:02:07 GMT 2022","0","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_transaction_by_block_hash_and_index[params3-True]","Verify implemented rpc calls work eth_getTransactionByBlockHashAndIndex"
"failed","Thu Apr 28 16:03:31 GMT 2022","Thu Apr 28 16:03:31 GMT 2022","0","integration.tests.basic","test_transfers","TestTransfer","","","test_send_token_to_self","Send token to self"
"failed","Thu Apr 28 16:02:07 GMT 2022","Thu Apr 28 16:02:07 GMT 2022","0","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_logs_via_tags[latest-latest]","Verify implemented rpc calls work eth_getLogs"
